r,rmse_0,rmse_global_mean,rmse_row_means,rmse_means_weighted
1,3.089019394352245,1.0194630980889352,0.9226786857204193,0.883013961235519
2,3.002782727741853,0.9954480057430264,0.9015780239212315,0.8773972360235375
3,2.9484632961013033,0.9883836869672513,0.9016679539619685,0.8731256762387412
4,2.9133464363196575,0.9870603739397202,0.9031436442163534,0.8724823475335187
5,2.891534397186932,0.9840853965911115,0.9024741427717705,0.8713420945965037
6,2.868361341577983,0.9807911566245922,0.9001980708974623,0.8702116485974263
7,2.8533824649398247,0.9809044031750647,0.9003350135031074,0.8697694506779786
8,2.8649997839617525,0.9823454311094133,0.8996794046353178,0.8687410586714859
9,2.8634316364661605,0.9801088557119019,0.8995609330742731,0.8688563095216336
10,2.864263801340622,0.9797900850112934,0.8996223236379366,0.8696976483793698
11,2.876364398188967,0.9784919596657825,0.8991002355032411,0.8678617764574897
12,2.8792682038954664,0.9764994746861217,0.8990997649779422,0.867208536690498
13,2.8796586774642448,0.9751749225648527,0.8990450560482582,0.8670647842186784
14,2.8947461634163925,0.9735935933643669,0.8973086922251934,0.8664970951572873
15,2.9027256404202646,0.9738860397775081,0.8975158629956197,0.8653726583275135
16,2.908158701038925,0.9725086457234593,0.8970721925531663,0.8659769850888289
17,2.9158001233057282,0.9730267744341868,0.8977192966183453,0.8655919916510889
18,2.9236734434262384,0.9727741177951363,0.8985413875999582,0.8651308198080723
19,2.9293902089267934,0.9726139041832111,0.8993381040215565,0.8654276645250601
20,2.939911921290915,0.9729063941522516,0.9001249259156763,0.8651861797117643
21,2.9436318911133137,0.9721635211111332,0.9014316952686897,0.8653019855076511
22,2.9506012189523907,0.9712009216733457,0.9017610478576094,0.8664273118686284
23,2.954477745281051,0.9728813165054143,0.90245793600403,0.8666531046935834
24,2.9568868119271476,0.9736254840868825,0.901777249537309,0.8666654700875946
25,2.965092620429788,0.9744413298057316,0.9027923545390573,0.8675159967492244
26,2.975223407621513,0.9747241217218577,0.9031661040789224,0.8670241510920785
27,2.9756976920875418,0.974662631978314,0.9032069267233042,0.8687025141951918
28,2.9834433141425984,0.9766911044736201,0.9041196606752021,0.8680670339337346
29,2.988794160043806,0.9769827910796128,0.9039270609440346,0.8675171346608738
30,2.995871035646789,0.9768510003536405,0.9037795085942553,0.867468370594049
31,3.0071920359253475,0.9778025838938806,0.9049539631625976,0.8674819555985919
32,3.0126196118037654,0.9801255784743119,0.904636021424456,0.8679056941919294
33,3.0145928454504785,0.979452612891351,0.90488802333086,0.8689758823173455
34,3.016322761892536,0.9805083639152947,0.9043664680288985,0.868227979663655
35,3.0265217427610493,0.9803678018488337,0.9058288855799864,0.8674119915167304
36,3.0311546703376138,0.9805885324318102,0.9065945584104717,0.8697515273580985
37,3.037197553838785,0.9811006420934866,0.9062779342513902,0.8685552342712948
38,3.044569717268878,0.9820903367668878,0.9067035944011016,0.8686838461456651
39,3.0494406947309107,0.9829647855564405,0.9061116497174854,0.8694892010398487
40,3.053049708738115,0.9840944418630581,0.9065350565524549,0.8685129201353103
41,3.0565699470624828,0.9847238868815171,0.9068997582631387,0.8696402684091078
42,3.0655765508596238,0.9841893408525654,0.9075848898297852,0.8690630224785499
43,3.0692226690425204,0.9855330868688115,0.907336186035887,0.8682882299891507
44,3.077305295205806,0.9871066814746533,0.90843596345434,0.8683191908573503
45,3.0782297618989336,0.986399652583662,0.9082530576523681,0.8685360921197433
46,3.085405032558929,0.9871945150287462,0.9096545225677991,0.870133725517675
47,3.092962371657248,0.987939707393339,0.9099614267490741,0.8703891635764762
48,3.099668015463781,0.9884209481222983,0.9096301173495942,0.8705557723966719
49,3.1016171737212788,0.9879165105790264,0.9095639824630256,0.8713699338384859
50,3.1093701316733364,0.9890919188702807,0.9107101493954901,0.8710360549661833
51,3.1150087732748606,0.990005630551034,0.9110124626859823,0.8719913903922833
52,3.1225450852965095,0.9911362145281015,0.9122094091810077,0.8718982175308305
53,3.128356087159564,0.9910693430128635,0.9118503530191859,0.8711427776631561
54,3.130838920830196,0.9909313176374496,0.9118482221007972,0.8723557408324788
55,3.1372404394759625,0.9930634598604919,0.9113987520488411,0.872202935783551
56,3.1382085653543594,0.9915528124447333,0.9123065707588918,0.8712469270827289
57,3.1450263188958902,0.9927430557521847,0.9131924459644005,0.8716836007811051
58,3.1477143462750052,0.9936443708784383,0.913071140555494,0.8721858993707704
59,3.1526041816198074,0.9934863875290596,0.9133347712110766,0.8720170655547944
60,3.1631914979673508,0.9954289327116133,0.9134418250561985,0.8710434058717952
61,3.163610719096991,0.9936363932196222,0.9136787192506157,0.8724714527830607
62,3.1710976547868914,0.9939332046449847,0.9141061272239258,0.8728141806636339
63,3.178513482870127,0.9961809441882554,0.9141387238892472,0.87360801852091
64,3.1808629908848025,0.9955932676751673,0.9140096884683976,0.8740701103319966
65,3.1881954698799606,0.9956510731270736,0.9141734271658648,0.8724718299613086
66,3.1903558808592622,0.9978756976554692,0.9143780164684298,0.8736887678996389
67,3.193991892429649,0.9977569797909673,0.9141634082150664,0.8732840699544583
68,3.202061491659119,0.9977495837282002,0.9150568669572753,0.8738199932498611
69,3.2084588258066695,0.999901860229175,0.9153948833190165,0.8738379543602594
70,3.2043273353018455,0.9989401931175357,0.9151658587646629,0.8745404330418124
71,3.2131968199763743,1.0001968535861707,0.9164284812790593,0.8738896726403239
72,3.2144050013443306,0.9996923262838597,0.9155246500401092,0.8734525467337019
73,3.2208978340165126,1.000185093698674,0.9164113339249204,0.8746887864286914
74,3.2288495929350467,1.0013767333104486,0.9157917636406971,0.8749489386961767
75,3.2300825496663483,1.0020836361573202,0.9166400075951647,0.8748445383508818
76,3.238383583867788,1.0034074150698507,0.9159686402856838,0.873863441621063
77,3.235572442827964,1.003181307178804,0.9168763152102958,0.8750706144259075
78,3.245766419914347,1.0031784792742346,0.9165547025361835,0.8736933163282076
79,3.246354437082919,1.0032412792691126,0.9172857598006556,0.8740208928018963
80,3.253613148614278,1.0044643081066444,0.9175243421829169,0.8743645223342642
81,3.2552632531607197,1.0047060523897247,0.9176041605688929,0.8747064441570094
82,3.260847491751146,1.0044255522165322,0.9180093255442526,0.8747686027921806
83,3.261969452296692,1.0051281680561395,0.9181494431335815,0.875242575521706
84,3.2683968124222527,1.0053746956841192,0.9174881142119115,0.876130283443593
85,3.2737511219126154,1.0058805397652995,0.9191806400268243,0.8754539473163563
86,3.277079176682832,1.0061746654480368,0.9190560796873551,0.8759608769749702
87,3.2807057351624174,1.0062511940078909,0.918461342582297,0.8757503714272203
88,3.284705654216383,1.007271924019049,0.9190827936938051,0.8756977842209671
89,3.285774764320561,1.0075874436174366,0.9191293102380096,0.8760121229090219
90,3.290307793631493,1.0084809527641279,0.9201018827795054,0.8763811367938096
91,3.2955093376192184,1.0094715426306995,0.919583734626942,0.8758927905749465
92,3.299112240238672,1.0087076211570867,0.9202483548811436,0.875935790837535
93,3.3021556690978264,1.0094932826694982,0.9205501543203786,0.8764312833322407
94,3.308759281377879,1.0100060043751624,0.9209406740796843,0.8772885377256557
95,3.311028368045478,1.009076377339335,0.9206352221814338,0.8765658452545708
96,3.312911931690705,1.0093063006664382,0.9207077859263758,0.8767919958680431
97,3.3162525383834462,1.0116224212261151,0.920623060369256,0.8771003859516702
98,3.3184381353553665,1.011542577779069,0.9209943171881053,0.8764687351721813
99,3.319498543441761,1.0115378447459513,0.9212290652312018,0.8769489395533637
100,3.3265027605537165,1.0129369909993575,0.9214453522819652,0.876458768857244
101,3.32870903740995,1.0130991117638681,0.921235844774952,0.8765426046512431
102,3.332109248292238,1.0127782707032018,0.921337465808374,0.8776233757379628
103,3.33431393099812,1.0133681502287395,0.9214433608145309,0.8778199179155994
104,3.3392358360920795,1.0150499273856868,0.9212719910430971,0.8775571614855306
105,3.341713756483552,1.0137063117961198,0.9215661332645262,0.8774700364166889
106,3.341232788980438,1.0153135662694885,0.9213400547956514,0.87821663360893
107,3.348861080453201,1.015122791700352,0.922015924016155,0.8777669033467558
108,3.3493213816816456,1.0159520806964475,0.9219469304737873,0.8779488622792244
109,3.3508896850394345,1.0167329381897352,0.9221890019441993,0.8779721888081378
110,3.356177422415795,1.016935262374969,0.9220152986595667,0.8789470386108154
111,3.3584550785481913,1.0173833148399847,0.9224806799738354,0.8789837442102126
112,3.360061040778082,1.0181011396669666,0.9230302470728247,0.8782610827941532
113,3.3621858925482497,1.0183588498128837,0.9226270993079988,0.8786563241397755
114,3.3678104348550786,1.0181012681720691,0.9225995396251211,0.8788874380834397
115,3.370738942401657,1.018382208351656,0.9226662854777964,0.8786104684094194
116,3.3751675723727885,1.018884799873667,0.9236837061265839,0.879275395662728
117,3.3757932116679084,1.0189646424882002,0.9235440078223903,0.8783658190844976
118,3.380128749388545,1.0193987415355175,0.9226352204081408,0.8785911387209995
119,3.3764544798730545,1.0203033339540126,0.923143402635274,0.8795084834722695
120,3.3830902745574005,1.0201633455762826,0.9236864049609397,0.8782516879610801
121,3.387653688265638,1.0219062193451087,0.9236088526037176,0.8788244412688374
122,3.3887321693394967,1.0217589386551298,0.9243336013960989,0.878861842577498
123,3.3871780250790353,1.0220775711961008,0.923422919881823,0.8795555849194658
124,3.394108143693727,1.0208205323103734,0.9236759808501732,0.8789838583433222
125,3.3933204587347228,1.0215126062707338,0.9241931881670312,0.8786201675026565
126,3.398289224874252,1.0229895515385972,0.923594318119371,0.8790319748804103
127,3.39786745634463,1.0228626100109357,0.9229978507551935,0.8786303556401491
128,3.4037834070039854,1.0230689359116008,0.9243178903027711,0.8798612989954738
129,3.4058519736717052,1.0240381744543974,0.9244777395689414,0.8793375999182308
130,3.4048831602366785,1.024560870418625,0.9243211266793441,0.8794628909591597
131,3.4078831353071974,1.0241436950024991,0.9248233231537196,0.8793167570945215
132,3.4104460927001203,1.0245523414228432,0.92462485367365,0.8787727656827365
133,3.410499750879638,1.0260732363689122,0.9248465485317875,0.8786759870083489
134,3.414941076340831,1.025158857530372,0.9244837222014174,0.8782347471580603
135,3.4148816309174967,1.0255394528759905,0.9251953935097471,0.8797063866568322
136,3.417473647043864,1.02687326561369,0.9251804750474334,0.87979497385983
137,3.419879430110823,1.0263859774395032,0.9254393986616268,0.8792828103010759
138,3.422242986171445,1.0266615635418574,0.9246317497402436,0.8792667968927014
139,3.424140600373401,1.0270996459515338,0.9257211704402012,0.8796852158776044
140,3.427182875237152,1.027410010498712,0.9250303257108782,0.8794984548482931
141,3.428230033643422,1.026783477538197,0.9253806435048703,0.8794770494327067
142,3.4308452013258672,1.0272719561842685,0.9259901600472144,0.8795062315718526
143,3.430577036892304,1.0286195807199021,0.9255260445156012,0.8800654491442642
144,3.43550810460561,1.0293541252223384,0.9258378440938152,0.8798743730837242
145,3.436642136869274,1.0282183717924493,0.9260510827724511,0.8803871455274718
146,3.4395899048703407,1.0291875861363828,0.9253437326825256,0.880364157282939
147,3.4427866250585994,1.0293090187897145,0.9260410958766755,0.8803352535487787
148,3.440844506261662,1.029109389933973,0.9263066562025183,0.8801211750357895
149,3.441922917438654,1.0298056916224732,0.9268531873710231,0.8798978540549705
150,3.4450375962806947,1.030748450800233,0.9264034757298453,0.8807692273693377
151,3.4478845082568927,1.0308896252569764,0.9266049127786614,0.8800093873307213
152,3.4493733223118244,1.0314896827910343,0.9264902086365837,0.8805094590044424
153,3.4497853572661348,1.031523864736879,0.9267611389926578,0.8805898833312296
154,3.4547995074913396,1.0319913736021957,0.9271866176130906,0.8804762661838358
155,3.452410210735182,1.0316957063496426,0.9264218680627041,0.8806764808294129
156,3.4575495819926076,1.0324813375151871,0.9270487582368896,0.880809245269041
157,3.4563430154984127,1.0319229971621817,0.9268333048668627,0.8806593701078618
158,3.4576729032583673,1.032675354665582,0.9270265573301703,0.8807977527788058
159,3.4637348147949965,1.0326594841673677,0.926958731580732,0.8812712172879399
160,3.460216286508893,1.0337802045330868,0.9273239340798909,0.8804761649028922
161,3.464398990239925,1.0338140748256615,0.9270356987372509,0.8810999455496552
162,3.4652434443788414,1.0332965656515123,0.9268756977755643,0.8815483219121221
163,3.4669150220468112,1.0338769653139552,0.9264613824494123,0.8822450636274618
164,3.469906929418024,1.0346543245452187,0.9272398409513968,0.8811904659774078
165,3.469765981258356,1.0342770497822058,0.927174033675515,0.8807051052654371
166,3.4734241104234687,1.0343776717713846,0.9270050236071479,0.8817077112055631
167,3.474201865869268,1.0350520303383,0.9272091575923088,0.8816395673352976
168,3.479302582944676,1.0355403714575817,0.9271895965095465,0.8811841967902392
169,3.4780745997461096,1.0354199690181103,0.9271951974403432,0.8818623056466803
170,3.476673509847486,1.0360243869504353,0.9269577210385216,0.8817643487434648
171,3.482140365432774,1.0360646244470986,0.9269754930615071,0.8818903022089434
172,3.4827804866383345,1.0367802788240157,0.9268239046393871,0.8816876754876705
173,3.4834752971780296,1.0363748709120542,0.9276505319932505,0.8824639708034159
174,3.486742318513365,1.037084613167896,0.9269404964120652,0.8818870265631858
175,3.485402987803109,1.0366132998550852,0.9272562440445833,0.8827132651363488
176,3.48595498398253,1.0372167144459419,0.9274279664159896,0.882726417086768
177,3.4911399976014907,1.037308669977985,0.9277103029985471,0.8817157307768296
178,3.4916215909626187,1.0365366126897542,0.9280398391143788,0.881616579635548
179,3.494576510745672,1.037219225784438,0.9278133841261643,0.8820882297295352
180,3.4946388226116984,1.0382966942196845,0.927761818380137,0.8828277357354336
