r,rep,SVD1,SVD2,NMF
1,1,0.8919953862664843,0.8778636380867976,0.8914639523698078
2,1,0.8847321451378029,0.8746392221797624,0.8915283396223488
3,1,0.8797108147259083,0.8748662831070851,0.8912273750093134
4,1,0.8786679742807955,0.8720332507911744,0.8911810868752832
5,1,0.8771879590692975,0.8706469479059399,0.8865066920095965
6,1,0.8766199390573738,0.8697920327636232,0.8851366700616782
7,1,0.8752938962877913,0.8697968351227352,0.8845214547121761
8,1,0.8751221085622829,0.8684613334967487,0.883185097548249
9,1,0.8746072708420756,0.8693215510587552,0.8841537356343417
10,1,0.8744632746547363,0.8698704197662874,0.881048520929498
11,1,0.8744295658787342,0.8693764181789192,0.8822796553295302
12,1,0.8751863407186176,0.8709861943319229,0.8810125758047203
13,1,0.8754752004559684,0.870208980241173,0.8791874452730049
14,1,0.8753949434053844,0.8713833979120548,0.8791892082795678
15,1,0.875269668284871,0.8715279072927484,0.8775703784731235
16,1,0.8756482997657873,0.8723531432305268,0.8773294908732016
17,1,0.875718637718337,0.8748017445572162,0.8771856396351726
18,1,0.8765266244748482,0.874328962182111,0.8748492921213602
19,1,0.8764525180947466,0.8751028578611822,0.8778699637497814
20,1,0.8769249253820693,0.8767541370998976,0.877770696295626
21,1,0.8769310303761534,0.8774079360939725,0.8766676818990649
22,1,0.8772632038007575,0.8783983660015937,0.8763794009441775
23,1,0.8775728913488267,0.8789625988815781,0.8760556783328411
24,1,0.8782447569339296,0.8796650365823463,0.8779604248062828
25,1,0.8774864011872131,0.8789734109324618,0.8764137459943868
26,1,0.877399825352614,0.8792728238350217,0.8753740700069667
27,1,0.878338510488639,0.8802512279797683,0.8760623038743759
28,1,0.8781302185279057,0.8793480890170795,0.8767830992533976
29,1,0.8779617814218829,0.8805090766560277,0.8770175560634692
30,1,0.8775687701115005,0.8793438216281366,0.8789020921026724
31,1,0.8770882246865865,0.8798744576854208,0.8772954866077994
32,1,0.8775274566614192,0.8783677767015754,0.8768032569488884
33,1,0.8780296046409665,0.877571658074472,0.87770380536834
34,1,0.8770104656905362,0.8776165590682599,0.8770202950126893
35,1,0.877347412766636,0.8784365193883134,0.8787435694022392
36,1,0.876992404775934,0.879111877158754,0.8775254326643855
37,1,0.8783288314721214,0.8793372561616772,0.874794080606927
38,1,0.8775758708966884,0.8782071242703174,0.8783896059063442
39,1,0.8780307001272419,0.8786497907806662,0.8755982776286545
40,1,0.8780550935177107,0.8792250553507694,0.8771369269836721
41,1,0.8788179173967616,0.879478959722262,0.8785166668978952
42,1,0.8779684561166968,0.8794569216240693,0.8764469171841917
43,1,0.8784603023632762,0.880443216420347,0.8771167760130201
44,1,0.8790365674647478,0.8799562129883076,0.8772626762413939
45,1,0.8788396971859194,0.8798792067784877,0.878176320883377
46,1,0.8790159597914009,0.881643925091767,0.876874227140051
47,1,0.8782317256201102,0.8801179126919113,0.877537378321872
48,1,0.8799095861119871,0.8811090141332981,0.877249969618303
49,1,0.879189532002537,0.8807916069189885,0.877297526551332
50,1,0.880507220414401,0.8807221503629195,0.877950664137553
1,2,0.8966784408477839,0.8815536814440678,0.8960364655570741
2,2,0.8899837824544992,0.8795699230072485,0.8962044181556692
3,2,0.8850586881804811,0.8805002682201862,0.8960453912884148
4,2,0.8838988471657381,0.8772355237866328,0.8959808479145677
5,2,0.8823555752034827,0.8764259518394198,0.8916520556111
6,2,0.8810698132784808,0.8744007984769148,0.8903215507660518
7,2,0.8798525976472766,0.8737749444417293,0.889978187872541
8,2,0.8800357218956664,0.8739490953542447,0.8873153118978412
