Column weight,RMSE
0.0,0.9028776734748383
0.01,0.9009535195375578
0.02,0.8997447847427658
0.03,0.8978694034705936
0.04,0.8968727252088636
0.05,0.8956324309862942
0.06,0.894206723769285
0.07,0.8934160447048167
0.08,0.8920221915236959
0.09,0.8908928195924466
0.1,0.8900563684599331
0.11,0.8890153066797636
0.12,0.8877054502564632
0.13,0.8860894679600151
0.14,0.8850733937142917
0.15,0.8841167557190523
0.16,0.8833099692562489
0.17,0.8822756592613193
0.18,0.8816084446463561
0.19,0.8806785024337398
0.2,0.8798584827097491
0.21,0.8796348340619209
0.22,0.8787395789424615
0.23,0.8780411649674346
0.24,0.8769649315835358
0.25,0.876994362700568
0.26,0.8755949217066726
0.27,0.8753094479729517
0.28,0.875179493688878
0.29,0.8748255767058404
0.3,0.8747141794615916
0.31,0.8739492512928223
0.32,0.8736320474249665
0.33,0.8736888619873954
0.34,0.8734731598884561
0.35000000000000003,0.8734400818890621
0.36,0.8731232202953589
0.37,0.8730498311121926
0.38,0.8730316137155236
0.39,0.87331102139405
0.4,0.8730282706947842
0.41000000000000003,0.8739239980278131
0.42,0.8731948044503485
0.43,0.8735287669630107
0.44,0.8740119130843408
0.45,0.8740583538254659
0.46,0.8734398225104458
0.47000000000000003,0.8747009844276975
0.48,0.8750666683657289
0.49,0.8751640517296653
0.5,0.8760663995536601
0.51,0.876345734259811
0.52,0.8765574175832892
0.53,0.876478642283957
0.54,0.8774138495511912
0.55,0.8782225024159347
0.56,0.8789457775571934
0.5700000000000001,0.8794677915501666
0.58,0.8806854461767408
0.59,0.8809904178862614
0.6,0.8813412984182791
0.61,0.8829564615027916
0.62,0.8831139922690812
0.63,0.8842625844095245
0.64,0.8852715162742015
0.65,0.8863668269025262
0.66,0.8871274364855734
0.67,0.8882848097385567
0.68,0.8895634627931048
0.6900000000000001,0.8905926571910111
0.7000000000000001,0.8920456286262987
0.71,0.8933261131414417
0.72,0.8947236226980934
0.73,0.8957991428358733
0.74,0.8971787310757635
0.75,0.8986428145645107
0.76,0.9000844194190505
0.77,0.9009482524088268
0.78,0.9035861883593426
0.79,0.904500041396587
0.8,0.9062599869673295
0.81,0.9080312440127322
0.8200000000000001,0.9098582883607652
0.8300000000000001,0.9106714557839415
0.84,0.9125805217387755
0.85,0.9148519763373931
0.86,0.9166995659246748
0.87,0.9183695460997907
0.88,0.9202226891668746
0.89,0.9219183543799677
0.9,0.9236420027918962
0.91,0.9257749259395226
0.92,0.927413154616934
0.93,0.9303912625205147
0.9400000000000001,0.9307602980216312
0.9500000000000001,0.9338601401628301
0.96,0.9352792009925441
0.97,0.9384472634606018
0.98,0.9421288877675007
0.99,0.9429557405073712
1.0,0.9468417856457513
