col_weight,r,RMSE
0.2,5,0.8711735363278071
0.2,6,0.8690895062645103
0.2,7,0.8679819334386449
0.2,8,0.86778232562235
0.2,9,0.8687529823552472
0.2,10,0.8698699934111015
0.2,11,0.8713500182555164
0.2,12,0.8753519928151275
0.2,13,0.8788915071305703
0.2,14,0.8801883870202095
0.2,15,0.8803841894427069
0.2,20,0.8841350954172801
0.2,25,0.8866738237435982
0.2,30,0.8875314936618462
0.21000000000000002,5,0.8710675470348702
0.21000000000000002,6,0.868943781773778
0.21000000000000002,7,0.8679735656491662
0.21000000000000002,8,0.8676754565692809
0.21000000000000002,9,0.8686444503971437
0.21000000000000002,10,0.8697529596062188
0.21000000000000002,11,0.8713253428695781
0.21000000000000002,12,0.8754871822721089
0.21000000000000002,13,0.878261357494304
0.21000000000000002,14,0.8790852987990192
0.21000000000000002,15,0.8800854715029217
0.21000000000000002,20,0.8835977685179621
0.21000000000000002,25,0.886495073739169
0.21000000000000002,30,0.8854914402033716
0.22000000000000003,5,0.8710012870112717
0.22000000000000003,6,0.8688216625940964
0.22000000000000003,7,0.8687188210519087
0.22000000000000003,8,0.8675088664784739
0.22000000000000003,9,0.8684836028690073
0.22000000000000003,10,0.8698126364181448
0.22000000000000003,11,0.8712914182649703
0.22000000000000003,12,0.8753813172331734
0.22000000000000003,13,0.8780184950683959
0.22000000000000003,14,0.8781307898497474
0.22000000000000003,15,0.8784956122819819
0.22000000000000003,20,0.8825042659102945
0.22000000000000003,25,0.8843390563786558
0.22000000000000003,30,0.886140367987911
0.23000000000000004,5,0.8709092193095384
0.23000000000000004,6,0.8687355815645047
0.23000000000000004,7,0.86815300174213
0.23000000000000004,8,0.8675010404231042
0.23000000000000004,9,0.868194358583867
0.23000000000000004,10,0.8697402153682813
0.23000000000000004,11,0.871485522667405
0.23000000000000004,12,0.8754969550092069
0.23000000000000004,13,0.8775862253445197
0.23000000000000004,14,0.878365454592785
0.23000000000000004,15,0.8782969305356159
0.23000000000000004,20,0.8821986975270019
0.23000000000000004,25,0.8840676839719158
0.23000000000000004,30,0.883950982358318
0.24000000000000005,5,0.8709041316798445
0.24000000000000005,6,0.8686811315587516
0.24000000000000005,7,0.8681129167947358
0.24000000000000005,8,0.8674023521887853
0.24000000000000005,9,0.8681554025530949
0.24000000000000005,10,0.8696501140290103
0.24000000000000005,11,0.8710122710319504
0.24000000000000005,12,0.8756705334354524
0.24000000000000005,13,0.8772742019871204
0.24000000000000005,14,0.8780983169100518
0.24000000000000005,15,0.8775195463435796
0.24000000000000005,20,0.8824988944734106
0.24000000000000005,25,0.8830240369958082
0.24000000000000005,30,0.8838544924519703
0.25000000000000006,5,0.8708987608790637
0.25000000000000006,6,0.8686265214510771
0.25000000000000006,7,0.8684892190133512
0.25000000000000006,8,0.8673931892061607
0.25000000000000006,9,0.8678375916562932
0.25000000000000006,10,0.8695968623218816
0.25000000000000006,11,0.870946175544439
0.25000000000000006,12,0.875165331466702
0.25000000000000006,13,0.8773104896578298
0.25000000000000006,14,0.877614641114051
0.25000000000000006,15,0.8774311262299744
0.25000000000000006,20,0.8817990688607972
0.25000000000000006,25,0.8828436581960113
0.25000000000000006,30,0.8841222765904463
0.26000000000000006,5,0.8708822386648578
0.26000000000000006,6,0.8686305904972607
0.26000000000000006,7,0.8684814160903902
0.26000000000000006,8,0.867397044369608
0.26000000000000006,9,0.8678012772504456
0.26000000000000006,10,0.8696427124625031
0.26000000000000006,11,0.8709904681290138
0.26000000000000006,12,0.8753584303567745
0.26000000000000006,13,0.875933510832325
0.26000000000000006,14,0.8766941159499817
0.26000000000000006,15,0.8764806849710558
0.26000000000000006,20,0.8818450802885152
0.26000000000000006,25,0.8827686129648984
0.26000000000000006,30,0.8828084614301354
0.2700000000000001,5,0.8709995702706029
0.2700000000000001,6,0.86863393316078
0.2700000000000001,7,0.8684443518955255
0.2700000000000001,8,0.8674097590170309
0.2700000000000001,9,0.867895243404772
0.2700000000000001,10,0.8697604091270379
0.2700000000000001,11,0.8713761524873797
0.2700000000000001,12,0.8757731726921878
0.2700000000000001,13,0.8761130172942195
0.2700000000000001,14,0.8767901844921305
0.2700000000000001,15,0.8755244674480036
0.2700000000000001,20,0.8808096658306882
0.2700000000000001,25,0.8815604501262743
0.2700000000000001,30,0.8819526960141868
0.2800000000000001,5,0.8710392174766405
0.2800000000000001,6,0.8686637126955858
0.2800000000000001,7,0.8684644292284022
0.2800000000000001,8,0.8674943960735233
0.2800000000000001,9,0.8680666397994985
0.2800000000000001,10,0.8696276350253933
0.2800000000000001,11,0.8710585187847169
0.2800000000000001,12,0.8749628446252313
0.2800000000000001,13,0.8749361451094709
0.2800000000000001,14,0.8764211303434202
0.2800000000000001,15,0.8762607573862203
0.2800000000000001,20,0.880203760917479
0.2800000000000001,25,0.8802007428224983
0.2800000000000001,30,0.8806663692145027
0.2900000000000001,5,0.8712354936535205
0.2900000000000001,6,0.8686771366088227
0.2900000000000001,7,0.8686116794585329
0.2900000000000001,8,0.8675780210044018
0.2900000000000001,9,0.8679819942807206
0.2900000000000001,10,0.8692551483380375
0.2900000000000001,11,0.8714619088862404
0.2900000000000001,12,0.8745240664554204
0.2900000000000001,13,0.8755868312215626
0.2900000000000001,14,0.8749555532314454
0.2900000000000001,15,0.8755705952010431
0.2900000000000001,20,0.8791045332958336
0.2900000000000001,25,0.8799342523968272
0.2900000000000001,30,0.8809346341315525
0.3000000000000001,5,0.8712177499408862
0.3000000000000001,6,0.8687237192517209
0.3000000000000001,7,0.8688302725337982
0.3000000000000001,8,0.8676972103919912
0.3000000000000001,9,0.8682842980206977
0.3000000000000001,10,0.8696197408018174
0.3000000000000001,11,0.8714057739820777
0.3000000000000001,12,0.8746444690501606
0.3000000000000001,13,0.8756839913175858
0.3000000000000001,14,0.8758538540681537
0.3000000000000001,15,0.8753878461478216
0.3000000000000001,20,0.8781158444783597
0.3000000000000001,25,0.8806596170045803
0.3000000000000001,30,0.8795746386588852
0.3100000000000001,5,0.8710468243398782
0.3100000000000001,6,0.8688585344300164
0.3100000000000001,7,0.869034632184613
0.3100000000000001,8,0.8678409705066357
0.3100000000000001,9,0.8680653293350692
0.3100000000000001,10,0.8696036412968841
0.3100000000000001,11,0.8719546547033932
0.3100000000000001,12,0.8746641304093045
0.3100000000000001,13,0.8753065404787872
0.3100000000000001,14,0.8747741835753384
0.3100000000000001,15,0.8749453146630807
0.3100000000000001,20,0.878519308555497
0.3100000000000001,25,0.8793782804629805
0.3100000000000001,30,0.8800872180200865
0.3200000000000001,5,0.8709873579800665
0.3200000000000001,6,0.8691135749991072
0.3200000000000001,7,0.8689444502168496
0.3200000000000001,8,0.8680153809731235
0.3200000000000001,9,0.8683830181992855
0.3200000000000001,10,0.8697410525443214
0.3200000000000001,11,0.8717420305851112
0.3200000000000001,12,0.8744075516649319
0.3200000000000001,13,0.875127452975324
0.3200000000000001,14,0.8740662348332744
0.3200000000000001,15,0.8742117686702454
0.3200000000000001,20,0.8783032919465472
0.3200000000000001,25,0.8792745475423804
0.3200000000000001,30,0.879148045390412
0.3300000000000001,5,0.8715395369567607
0.3300000000000001,6,0.8694439500300238
0.3300000000000001,7,0.869259344144268
0.3300000000000001,8,0.8682128766634204
0.3300000000000001,9,0.8686289686093794
0.3300000000000001,10,0.8696511840560217
0.3300000000000001,11,0.871532009978648
0.3300000000000001,12,0.874026127363613
0.3300000000000001,13,0.8746764242150711
0.3300000000000001,14,0.8747015683875129
0.3300000000000001,15,0.873979035092509
0.3300000000000001,20,0.877873290203936
0.3300000000000001,25,0.8796618316750933
0.3300000000000001,30,0.878368685541676
0.34000000000000014,5,0.8719432584698577
0.34000000000000014,6,0.8700057266117972
0.34000000000000014,7,0.8694657191770501
0.34000000000000014,8,0.8684126251883971
0.34000000000000014,9,0.8687060327794079
0.34000000000000014,10,0.8698972345685342
0.34000000000000014,11,0.8719931781309702
0.34000000000000014,12,0.8735337016754289
0.34000000000000014,13,0.87374763317516
0.34000000000000014,14,0.874179238624224
0.34000000000000014,15,0.8743737091344
0.34000000000000014,20,0.8764394563921577
0.34000000000000014,25,0.8786602314850858
0.34000000000000014,30,0.8783750916369067
0.35000000000000014,5,0.8722441647706562
0.35000000000000014,6,0.8704961956020403
0.35000000000000014,7,0.8697963788847305
0.35000000000000014,8,0.868579369513877
0.35000000000000014,9,0.8689192081235635
0.35000000000000014,10,0.8698817530864118
0.35000000000000014,11,0.8721080860959568
0.35000000000000014,12,0.8736513051503677
0.35000000000000014,13,0.8743370459618061
0.35000000000000014,14,0.8744848117311794
0.35000000000000014,15,0.8737647834830473
0.35000000000000014,20,0.8771361624728071
0.35000000000000014,25,0.8785021072110915
0.35000000000000014,30,0.8785399409691939
0.36000000000000015,5,0.8725235169962366
0.36000000000000015,6,0.8709539309342293
0.36000000000000015,7,0.8698436371903477
0.36000000000000015,8,0.8688328078631902
0.36000000000000015,9,0.8690888266906707
0.36000000000000015,10,0.8698154441670791
0.36000000000000015,11,0.8722991228399699
0.36000000000000015,12,0.8738338284830097
0.36000000000000015,13,0.8732996258141049
0.36000000000000015,14,0.8742880904287759
0.36000000000000015,15,0.8739355409477843
0.36000000000000015,20,0.8774744551451069
0.36000000000000015,25,0.8787198394353092
0.36000000000000015,30,0.8779896390429339
0.37000000000000016,5,0.8728227996800267
0.37000000000000016,6,0.8713877070858973
0.37000000000000016,7,0.8700901759143767
0.37000000000000016,8,0.8691005628739089
0.37000000000000016,9,0.8691794825439886
0.37000000000000016,10,0.8709891537604681
0.37000000000000016,11,0.8720758896999334
0.37000000000000016,12,0.8738178076898763
0.37000000000000016,13,0.8733723925881844
0.37000000000000016,14,0.8741431618421799
0.37000000000000016,15,0.8738438280756923
0.37000000000000016,20,0.8764156811700995
0.37000000000000016,25,0.8780528748539266
0.37000000000000016,30,0.8791066910462391
0.38000000000000017,5,0.8731533334709036
0.38000000000000017,6,0.8718384746746227
0.38000000000000017,7,0.8703772571836432
0.38000000000000017,8,0.8693765630597722
