index,rep,lambda,eta,r,RMSE
101,11.0,0.0099,0.007,2.0,1.0483757680525194
102,12.0,0.011,0.007,2.0,0.9837533861572763
103,12.0,0.0099,0.007,2.0,1.0032714615891594
104,13.0,0.011,0.007,2.0,0.9889440346426144
105,13.0,0.0099,0.007,2.0,0.9336627108576852
106,14.0,0.011,0.007,2.0,0.9767855183646219
107,14.0,0.0099,0.007,2.0,0.9996147580317464
108,15.0,0.011,0.007,2.0,0.9653220824395031
109,15.0,0.0099,0.007,2.0,0.9698641928067626
110,16.0,0.011,0.007,2.0,0.9535876419609283
111,16.0,0.0099,0.007,2.0,0.988895274876782
112,17.0,0.011,0.007,2.0,0.9728139093909912
113,17.0,0.0099,0.007,2.0,0.9713079317002729
114,18.0,0.011,0.007,2.0,1.038695722097165
115,18.0,0.0099,0.007,2.0,1.0114478226380865
116,19.0,0.011,0.007,2.0,0.9734454219983316
117,19.0,0.0099,0.007,2.0,0.9821583761534343
118,20.0,0.011,0.007,2.0,0.9917581650911074
119,20.0,0.0099,0.007,2.0,0.9530763264769512
120,1.0,0.011,0.001,4.0,1.0329978062908591
121,1.0,0.0099,0.001,4.0,1.0354965157426825
122,2.0,0.011,0.001,4.0,1.0259891388098235
123,2.0,0.0099,0.001,4.0,1.0177064250187482
124,3.0,0.011,0.001,4.0,1.0379716004112085
125,3.0,0.0099,0.001,4.0,1.037135203246419
126,4.0,0.011,0.001,4.0,1.0152242769789934
127,4.0,0.0099,0.001,4.0,1.0343158334512483
128,5.0,0.011,0.001,4.0,1.0344527133657793
129,5.0,0.0099,0.001,4.0,1.0314357962336493
130,6.0,0.011,0.001,4.0,1.0298934879514152
131,6.0,0.0099,0.001,4.0,1.0300126180236706
132,7.0,0.011,0.001,4.0,1.0224091093357535
133,7.0,0.0099,0.001,4.0,1.0448988304510003
134,8.0,0.011,0.001,4.0,1.044202829086877
135,8.0,0.0099,0.001,4.0,1.0350310028994532
136,9.0,0.011,0.001,4.0,1.0310578134863335
137,9.0,0.0099,0.001,4.0,1.0416018424212554
138,10.0,0.011,0.001,4.0,1.0432160105132313
139,10.0,0.0099,0.001,4.0,1.0366755668301204
140,11.0,0.011,0.001,4.0,1.0450705415272674
141,11.0,0.0099,0.001,4.0,1.041883241888147
142,12.0,0.011,0.001,4.0,1.0517653022532418
143,12.0,0.0099,0.001,4.0,1.0220396248764188
144,13.0,0.011,0.001,4.0,1.0374693138362159
145,13.0,0.0099,0.001,4.0,1.0451321218328318
146,14.0,0.011,0.001,4.0,1.0166826591168043
147,14.0,0.0099,0.001,4.0,1.0340992042429484
148,15.0,0.011,0.001,4.0,1.0260776232799371
149,15.0,0.0099,0.001,4.0,1.0227330570167925
150,16.0,0.011,0.001,4.0,1.0502343782067496
151,16.0,0.0099,0.001,4.0,1.053601920045046
152,17.0,0.011,0.001,4.0,1.0124037070175478
153,17.0,0.0099,0.001,4.0,1.037549097878962
154,18.0,0.011,0.001,4.0,1.0397089807302056
155,18.0,0.0099,0.001,4.0,1.016776063132652
156,19.0,0.011,0.001,4.0,1.0222858559892511
157,19.0,0.0099,0.001,4.0,1.0533437298222181
158,20.0,0.011,0.001,4.0,1.0361339149760227
159,20.0,0.0099,0.001,4.0,1.0391871428309065
160,1.0,0.011,0.004,4.0,1.021005676352943
161,1.0,0.0099,0.004,4.0,0.9690855718401669
162,2.0,0.011,0.004,4.0,1.0413497279434352
163,2.0,0.0099,0.004,4.0,1.015907470989209
164,3.0,0.011,0.004,4.0,1.009922894117068
165,3.0,0.0099,0.004,4.0,1.0332565411986847
166,4.0,0.011,0.004,4.0,0.9791734759556396
167,4.0,0.0099,0.004,4.0,0.9969477268897434
168,5.0,0.011,0.004,4.0,0.9965265672906168
169,5.0,0.0099,0.004,4.0,1.0413323601284885
170,6.0,0.011,0.004,4.0,0.9875917625506807
171,6.0,0.0099,0.004,4.0,1.0017239163433536
172,7.0,0.011,0.004,4.0,1.0131246635053972
173,7.0,0.0099,0.004,4.0,1.0043180672081475
174,8.0,0.011,0.004,4.0,0.9975990596423617
175,8.0,0.0099,0.004,4.0,0.9797779117725453
176,9.0,0.011,0.004,4.0,1.0298883798620786
177,9.0,0.0099,0.004,4.0,1.0203432116670712
178,10.0,0.011,0.004,4.0,0.99200456192552
179,10.0,0.0099,0.004,4.0,1.0102888939317927
180,11.0,0.011,0.004,4.0,0.9798119156410071
181,11.0,0.0099,0.004,4.0,0.986205895279451
182,12.0,0.011,0.004,4.0,1.0010573699277432
183,12.0,0.0099,0.004,4.0,1.0270598583596797
184,13.0,0.011,0.004,4.0,0.9918859969601898
185,13.0,0.0099,0.004,4.0,0.971811812277363
186,14.0,0.011,0.004,4.0,0.9863265456286789
187,14.0,0.0099,0.004,4.0,1.0453074031719936
188,15.0,0.011,0.004,4.0,0.9756344902823809
189,15.0,0.0099,0.004,4.0,1.0176719871821693
190,16.0,0.011,0.004,4.0,1.000318926808837
191,16.0,0.0099,0.004,4.0,1.0127539716942378
192,17.0,0.011,0.004,4.0,1.023189109344385
193,17.0,0.0099,0.004,4.0,1.0084723564880833
194,18.0,0.011,0.004,4.0,1.0218553159802435
195,18.0,0.0099,0.004,4.0,1.0021833928119137
196,19.0,0.011,0.004,4.0,1.023765935868732
197,19.0,0.0099,0.004,4.0,0.973412576175555
198,20.0,0.011,0.004,4.0,1.02712131489026
199,20.0,0.0099,0.004,4.0,0.9974548144953682
200,1.0,0.011,0.007,4.0,0.960732841709197
201,1.0,0.0099,0.007,4.0,1.0114295403807307
202,2.0,0.011,0.007,4.0,0.9439335772615538
203,2.0,0.0099,0.007,4.0,1.0330976137377366
204,3.0,0.011,0.007,4.0,0.9971684576131085
205,3.0,0.0099,0.007,4.0,1.000770568422236
206,4.0,0.011,0.007,4.0,0.9952143782588894
207,4.0,0.0099,0.007,4.0,0.9844046732968751
208,5.0,0.011,0.007,4.0,0.9709553556326723
209,5.0,0.0099,0.007,4.0,0.9392731164873597
210,6.0,0.011,0.007,4.0,0.9915149126124575
211,6.0,0.0099,0.007,4.0,0.9565094789832559
212,7.0,0.011,0.007,4.0,0.9700760193232545
213,7.0,0.0099,0.007,4.0,0.9783978108993778
214,8.0,0.011,0.007,4.0,0.9927285064882378
215,8.0,0.0099,0.007,4.0,0.9369213085047678
216,9.0,0.011,0.007,4.0,0.9702067779295519
217,9.0,0.0099,0.007,4.0,0.9422110235550136
218,10.0,0.011,0.007,4.0,1.0026393265597093
219,10.0,0.0099,0.007,4.0,1.0002227659356033
220,11.0,0.011,0.007,4.0,1.0326181448423637
221,11.0,0.0099,0.007,4.0,1.0250295341269802
222,12.0,0.011,0.007,4.0,0.9933122135686109
223,12.0,0.0099,0.007,4.0,0.9780569916712898
224,13.0,0.011,0.007,4.0,1.0264750305692827
225,13.0,0.0099,0.007,4.0,0.9584139687108586
226,14.0,0.011,0.007,4.0,1.0487062168570565
227,14.0,0.0099,0.007,4.0,0.9739920216094863
228,15.0,0.011,0.007,4.0,0.9456684088192188
229,15.0,0.0099,0.007,4.0,0.9777199574915644
230,16.0,0.011,0.007,4.0,1.0142162437549815
231,16.0,0.0099,0.007,4.0,0.9983920216260104
232,17.0,0.011,0.007,4.0,1.0132189498168926
233,17.0,0.0099,0.007,4.0,1.0142020387387953
234,18.0,0.011,0.007,4.0,0.9589479467162187
235,18.0,0.0099,0.007,4.0,0.96720311083146
236,19.0,0.011,0.007,4.0,0.9927631698425362
237,19.0,0.0099,0.007,4.0,0.9957096486106103
238,20.0,0.011,0.007,4.0,1.0101063429755148
239,20.0,0.0099,0.007,4.0,0.9574451329645483
240,1.0,0.011,0.001,7.0,1.0443146458621593
