index,rep,lambda,eta,r,RMSE
510,16.0,0.011,0.001,16.0,1.035454507950284
511,16.0,0.0099,0.001,16.0,1.0309715008802098
512,17.0,0.011,0.001,16.0,1.0538628878918823
513,17.0,0.0099,0.001,16.0,1.0417150588352528
514,18.0,0.011,0.001,16.0,1.0496894109843224
515,18.0,0.0099,0.001,16.0,1.0349240889345057
516,19.0,0.011,0.001,16.0,1.0353915371107867
517,19.0,0.0099,0.001,16.0,1.0292134461491982
518,20.0,0.011,0.001,16.0,1.046928762153064
519,20.0,0.0099,0.001,16.0,1.056434827411505
520,1.0,0.011,0.004,16.0,1.0097172144726598
521,1.0,0.0099,0.004,16.0,0.9920868498091683
522,2.0,0.011,0.004,16.0,1.0098220838863048
523,2.0,0.0099,0.004,16.0,1.0285783908263024
524,3.0,0.011,0.004,16.0,1.00277023073624
525,3.0,0.0099,0.004,16.0,1.0197283187665873
526,4.0,0.011,0.004,16.0,1.0464442752096879
527,4.0,0.0099,0.004,16.0,1.0056285949278605
528,5.0,0.011,0.004,16.0,1.0060010006168663
529,5.0,0.0099,0.004,16.0,1.024420011049668
530,6.0,0.011,0.004,16.0,1.0361408439646118
531,6.0,0.0099,0.004,16.0,0.9683154255413554
532,7.0,0.011,0.004,16.0,1.0235238234805868
533,7.0,0.0099,0.004,16.0,1.047983972436291
534,8.0,0.011,0.004,16.0,0.9775379446988964
535,8.0,0.0099,0.004,16.0,0.9838985413728184
536,9.0,0.011,0.004,16.0,1.0202122494620323
537,9.0,0.0099,0.004,16.0,1.0383056830299051
538,10.0,0.011,0.004,16.0,1.0161814535735378
539,10.0,0.0099,0.004,16.0,1.0415132603195234
540,11.0,0.011,0.004,16.0,1.030779458704599
541,11.0,0.0099,0.004,16.0,1.02874378178678
542,12.0,0.011,0.004,16.0,1.0489375358296078
543,12.0,0.0099,0.004,16.0,1.0257648650310596
544,13.0,0.011,0.004,16.0,1.0335158410689482
545,13.0,0.0099,0.004,16.0,0.9694099611113471
546,14.0,0.011,0.004,16.0,1.0208789874313862
547,14.0,0.0099,0.004,16.0,1.0194104764353855
548,15.0,0.011,0.004,16.0,1.0361918077992347
549,15.0,0.0099,0.004,16.0,1.047148601781773
550,16.0,0.011,0.004,16.0,1.0101610986324256
551,16.0,0.0099,0.004,16.0,1.0164888413848037
552,17.0,0.011,0.004,16.0,1.0218195121304157
553,17.0,0.0099,0.004,16.0,1.0388989738816414
554,18.0,0.011,0.004,16.0,1.0079741058314755
555,18.0,0.0099,0.004,16.0,1.0354303386596997
556,19.0,0.011,0.004,16.0,1.0356567500230656
557,19.0,0.0099,0.004,16.0,1.0564407903573203
558,20.0,0.011,0.004,16.0,1.0167804863953942
559,20.0,0.0099,0.004,16.0,0.9934353705612621
560,1.0,0.011,0.007,16.0,0.9837061101086615
561,1.0,0.0099,0.007,16.0,0.9986065182802721
562,2.0,0.011,0.007,16.0,0.9880615440404601
563,2.0,0.0099,0.007,16.0,0.9843688702638145
564,3.0,0.011,0.007,16.0,1.0107042166496814
565,3.0,0.0099,0.007,16.0,0.9784272975638455
566,4.0,0.011,0.007,16.0,0.9669719994704912
567,4.0,0.0099,0.007,16.0,1.0092589868990685
568,5.0,0.011,0.007,16.0,0.9762335479680367
569,5.0,0.0099,0.007,16.0,0.9797691914270551
570,6.0,0.011,0.007,16.0,0.955901572438981
571,6.0,0.0099,0.007,16.0,1.0222519346469008
572,7.0,0.011,0.007,16.0,1.035078390861215
573,7.0,0.0099,0.007,16.0,1.0195310880535466
574,8.0,0.011,0.007,16.0,0.9919851501876791
575,8.0,0.0099,0.007,16.0,0.9875037432834641
576,9.0,0.011,0.007,16.0,1.0282359213489056
577,9.0,0.0099,0.007,16.0,0.9812461941309962
578,10.0,0.011,0.007,16.0,0.9833410025678776
579,10.0,0.0099,0.007,16.0,0.9795634579040043
580,11.0,0.011,0.007,16.0,1.0365546569257273
581,11.0,0.0099,0.007,16.0,1.030243484808372
582,12.0,0.011,0.007,16.0,1.0006475257003515
583,12.0,0.0099,0.007,16.0,1.0068801206889506
584,13.0,0.011,0.007,16.0,1.0325814960090587
585,13.0,0.0099,0.007,16.0,1.0426226931056082
586,14.0,0.011,0.007,16.0,0.9838572492454146
587,14.0,0.0099,0.007,16.0,0.9930609731977138
588,15.0,0.011,0.007,16.0,1.0623212289873194
589,15.0,0.0099,0.007,16.0,1.0317696864709318
590,16.0,0.011,0.007,16.0,1.0118864533486824
591,16.0,0.0099,0.007,16.0,0.9767733582456888
592,17.0,0.011,0.007,16.0,1.016041703833802
593,17.0,0.0099,0.007,16.0,0.9727293264627724
594,18.0,0.011,0.007,16.0,0.9518236021728029
595,18.0,0.0099,0.007,16.0,1.0488882493450664
596,19.0,0.011,0.007,16.0,0.9995530552872978
597,19.0,0.0099,0.007,16.0,1.0459272574896001
598,20.0,0.011,0.007,16.0,1.0209681304859406
599,20.0,0.0099,0.007,16.0,0.9965562669554429
