r,rmse_0,rmse_global_mean,rmse_row_means,rmse_means_weighted
1,3.097728154344988,1.0329018798943783,0.9287595389274425,0.8914639523698078
2,3.0152880799562185,1.0329073978614332,0.9287627807418941,0.8915283396223488
3,2.9580244213347626,1.0329232403868058,0.9287905618915537,0.8912273750093134
4,2.940789489714836,1.0328719943181557,0.9287298441511447,0.8911810868752832
5,2.9295972968747637,1.0304218250852744,0.9286855004417979,0.8865066920095965
6,2.899729148618456,1.0063470692677114,0.9240695776218689,0.8851366700616782
7,2.9206231210719884,1.0042831050318113,0.9245389246514887,0.8845214547121761
8,2.9169560717962173,1.0037468868385973,0.908007821630642,0.883185097548249
9,2.9130840032931165,1.0016373927971347,0.9057915972488464,0.8841537356343417
10,2.923309745814558,0.9996302216080954,0.9075282396303033,0.881048520929498
11,2.92954392108549,0.9984690604344716,0.9070143920491537,0.8822796553295302
12,2.9409665688364317,0.9980018095072202,0.9056690962514455,0.8810125758047203
13,2.962791376455189,0.9925457556385089,0.907065642087981,0.8791874452730049
14,2.9528422217097248,0.9928587922409562,0.9071946729159365,0.8791892082795678
15,2.976115084965423,0.9912607526826954,0.9052521817535394,0.8775703784731235
16,2.955502467894591,0.9922347896870614,0.9056620702639615,0.8773294908732016
17,2.9491017604494245,0.9906979892523985,0.9064053326969684,0.8771856396351726
18,2.9918049766981714,0.9910504477650265,0.905303335109916,0.8748492921213602
19,2.995691752263374,0.990522535856847,0.9067731567573741,0.8778699637497814
20,2.994566953155695,0.990132737691875,0.9065725723277396,0.877770696295626
21,2.991581932827583,0.9891011926785697,0.9062742440101091,0.8766676818990649
22,2.9900696782053133,0.9892996639978223,0.905619845920535,0.8763794009441775
23,3.0031476319756303,0.9884356128710504,0.9058101163229841,0.8760556783328411
24,3.0003602818401505,0.9881761336779455,0.9065650995368003,0.8779604248062828
25,3.0213023688115834,0.9871655292510773,0.9066245051973134,0.8764137459943868
