rep,weight,r,RMSE
1,0.25,8.0,0.8728826291616621
1,0.26,8.0,0.8728486347367334
1,0.24,8.0,0.8729450333080706
1,0.27,8.0,0.8728404793565602
1,0.28,8.0,0.8728353591885046
1,0.23,8.0,0.8730396104595477
1,0.22,8.0,0.8731624500587605
1,0.29,8.0,0.8728744377152567
1,0.21,8.0,0.8733224467720895
1,0.3,8.0,0.8729419236403442
2,0.25,8.0,0.8682574809810335
2,0.26,8.0,0.8681830140747976
2,0.24,8.0,0.8684742365220942
2,0.27,8.0,0.8680341243577473
2,0.28,8.0,0.868020464066723
2,0.23,8.0,0.868672911381244
2,0.22,8.0,0.8689206099465672
2,0.29,8.0,0.8679426773358236
2,0.21,8.0,0.8691776325553524
2,0.3,8.0,0.8679132631230836
3,0.25,8.0,0.8596064228859605
3,0.26,8.0,0.8595999890948806
3,0.24,8.0,0.8596745615674847
3,0.27,8.0,0.8596213573308433
3,0.28,8.0,0.8596650000080135
3,0.23,8.0,0.8597161660966719
3,0.22,8.0,0.8598242455455527
3,0.29,8.0,0.8597274579818849
3,0.21,8.0,0.859935443403932
3,0.3,8.0,0.8598271864647961
4,0.25,8.0,0.8567316223659892
4,0.26,8.0,0.8567378041916803
4,0.24,8.0,0.8568039915935675
4,0.27,8.0,0.8567664221575545
4,0.28,8.0,0.8568025407028296
4,0.23,8.0,0.8568290682470965
4,0.22,8.0,0.8568843077653359
4,0.29,8.0,0.8568993092587532
4,0.21,8.0,0.8569985919302808
4,0.3,8.0,0.8570198556210563
5,0.25,8.0,0.8692054250287607
5,0.26,8.0,0.869304059160082
5,0.24,8.0,0.8691320251865395
5,0.27,8.0,0.8693872501391644
5,0.28,8.0,0.8695417049325757
5,0.23,8.0,0.8691481773063126
5,0.22,8.0,0.8691446362563229
5,0.29,8.0,0.8697170759387158
5,0.21,8.0,0.8691623768200128
5,0.3,8.0,0.8698942107635558
6,0.25,8.0,0.8767944869698264
6,0.26,8.0,0.8768354861682731
6,0.24,8.0,0.8767882287645948
6,0.27,8.0,0.876892528006789
6,0.28,8.0,0.8769852994068953
6,0.23,8.0,0.8768190803467671
6,0.22,8.0,0.8768915180009276
6,0.29,8.0,0.8770896353872185
6,0.21,8.0,0.8769766962430087
6,0.3,8.0,0.8772276642375049
7,0.25,8.0,0.877948212946277
7,0.26,8.0,0.8778533549586779
7,0.24,8.0,0.87805133908238
7,0.27,8.0,0.8777919819638047
7,0.28,8.0,0.877763368895001
7,0.23,8.0,0.8781920000307167
7,0.22,8.0,0.878358720873875
7,0.29,8.0,0.877742971144865
7,0.21,8.0,0.8785513440882545
7,0.3,8.0,0.8777626808610249
8,0.25,8.0,0.8612297668836062
8,0.26,8.0,0.8613138252209817
