index,lambda,eta,r,RMSE
107,0.016,0.0099,1.0,1.0068340881425715
108,0.016,0.01,1.0,0.9802240630823611
109,0.016,0.011,1.0,0.9419667963959675
110,0.016,0.012,1.0,0.9347502640818512
111,0.016,0.02,1.0,0.9559436688832971
112,0.017,0.008,1.0,0.9888698803485362
113,0.017,0.009,1.0,0.9583082505396119
114,0.017,0.0099,1.0,0.9410831321564849
115,0.017,0.01,1.0,0.9392897389810948
116,0.017,0.011,1.0,0.9385996034165984
117,0.017,0.012,1.0,0.9920408858623008
118,0.017,0.02,1.0,0.9426442330972398
119,0.018000000000000002,0.008,1.0,1.0174263853636065
120,0.018000000000000002,0.009,1.0,1.0002110437386083
121,0.018000000000000002,0.0099,1.0,0.941541453625089
122,0.018000000000000002,0.01,1.0,0.9398073986608887
123,0.018000000000000002,0.011,1.0,0.9413319208435706
124,0.018000000000000002,0.012,1.0,0.963920184050925
125,0.018000000000000002,0.02,1.0,0.9506770826106159
126,0.019000000000000003,0.008,1.0,0.9428286540601157
127,0.019000000000000003,0.009,1.0,0.939392869726
128,0.019000000000000003,0.0099,1.0,0.9323255415379508
129,0.019000000000000003,0.01,1.0,0.9370199780357944
130,0.019000000000000003,0.011,1.0,0.9686038351416384
131,0.019000000000000003,0.012,1.0,0.934784189065582
132,0.019000000000000003,0.02,1.0,0.9446494384778438
133,0.02,0.008,1.0,0.9995428883497148
134,0.02,0.009,1.0,0.9512182073499202
135,0.02,0.0099,1.0,0.9355116657542535
136,0.02,0.01,1.0,0.9648179728254465
137,0.02,0.011,1.0,0.9372090889559064
138,0.02,0.012,1.0,0.9361991761612132
139,0.02,0.02,1.0,0.94828613346148
140,0.025,0.008,1.0,1.03939771208302
141,0.025,0.009,1.0,0.9555040103483196
142,0.025,0.0099,1.0,0.9578618255411088
143,0.025,0.01,1.0,0.9392670875173977
144,0.025,0.011,1.0,0.9379468381908593
145,0.025,0.012,1.0,0.9631027952360788
146,0.025,0.02,1.0,0.9492186734730095
147,0.030000000000000002,0.008,1.0,0.9390506688483538
148,0.030000000000000002,0.009,1.0,0.9453263569223624
149,0.030000000000000002,0.0099,1.0,0.9468959340417662
150,0.030000000000000002,0.01,1.0,0.9603571786789329
151,0.030000000000000002,0.011,1.0,1.0095668494063803
152,0.030000000000000002,0.012,1.0,0.963439222538365
153,0.030000000000000002,0.02,1.0,0.941174839996084
154,0.035,0.008,1.0,1.026579944172931
155,0.035,0.009,1.0,0.9385819728206372
156,0.035,0.0099,1.0,0.9407743795845342
157,0.035,0.01,1.0,0.9554592498030384
158,0.035,0.011,1.0,0.9407253529679284
159,0.035,0.012,1.0,0.939554345209088
160,0.035,0.02,1.0,0.9568952665976881
161,0.04000000000000001,0.008,1.0,0.9445981276243802
162,0.04000000000000001,0.009,1.0,0.9404914271534668
163,0.04000000000000001,0.0099,1.0,0.9538228509697907
164,0.04000000000000001,0.01,1.0,0.9371845006487095
165,0.04000000000000001,0.011,1.0,1.0289599009328958
166,0.04000000000000001,0.012,1.0,0.9355354666448046
167,0.04000000000000001,0.02,1.0,0.9794108332410324
168,0.045000000000000005,0.008,1.0,1.0059279629019082
169,0.045000000000000005,0.009,1.0,0.9428593292083134
170,0.045000000000000005,0.0099,1.0,0.940262625670969
171,0.045000000000000005,0.01,1.0,0.9489386768073483
172,0.045000000000000005,0.011,1.0,1.0032894533304377
173,0.045000000000000005,0.012,1.0,0.9480948375365085
174,0.045000000000000005,0.02,1.0,0.9471700696011083
175,0.05,0.008,1.0,0.9441995965492792
176,0.05,0.009,1.0,0.949254050573926
