index,lambda,eta,r,RMSE
1084,0.045000000000000005,0.02,6.0,0.9704372691341911
1085,0.05,0.008,6.0,0.9965938572149319
1086,0.05,0.009,6.0,0.9844842489663501
1087,0.05,0.0099,6.0,1.0392409744923088
1088,0.05,0.01,6.0,0.9357428436509971
1089,0.05,0.011,6.0,1.0445623179017811
1090,0.05,0.012,6.0,0.9626873023708901
1091,0.05,0.02,6.0,1.0007244441188088
1092,0.001,0.008,7.0,0.9988689188535671
1093,0.001,0.009,7.0,1.0115167945711105
1094,0.001,0.0099,7.0,0.9834604334060939
1095,0.001,0.01,7.0,0.9390387672591929
1096,0.001,0.011,7.0,0.950322215706185
1097,0.001,0.012,7.0,0.9489746067097853
1098,0.001,0.02,7.0,0.9618681358154447
1099,0.002,0.008,7.0,1.011027618152275
1100,0.002,0.009,7.0,0.9978567116946744
1101,0.002,0.0099,7.0,0.9614909598847206
1102,0.002,0.01,7.0,0.9690702606051054
1103,0.002,0.011,7.0,1.023133797587297
1104,0.002,0.012,7.0,0.9314214475756272
1105,0.002,0.02,7.0,0.956971969309582
1106,0.003,0.008,7.0,0.9365708319542122
1107,0.003,0.009,7.0,0.9394098777444035
1108,0.003,0.0099,7.0,0.9756351356111785
1109,0.003,0.01,7.0,0.9519175059270776
1110,0.003,0.011,7.0,0.9892709142833261
1111,0.003,0.012,7.0,0.9642214337310951
1112,0.003,0.02,7.0,0.9983210418948711
1113,0.004,0.008,7.0,0.9623921506730043
1114,0.004,0.009,7.0,0.943448954063117
1115,0.004,0.0099,7.0,0.9669874016729781
1116,0.004,0.01,7.0,1.0005637872472264
1117,0.004,0.011,7.0,0.9664495632643983
1118,0.004,0.012,7.0,0.9965540384024498
1119,0.004,0.02,7.0,0.9523433497470971
1120,0.005,0.008,7.0,0.9998268170733525
1121,0.005,0.009,7.0,0.9550535012959985
1122,0.005,0.0099,7.0,0.9902714869862853
1123,0.005,0.01,7.0,0.9418744086385765
1124,0.005,0.011,7.0,0.9855942655295654
1125,0.005,0.012,7.0,0.9478329544246129
1126,0.005,0.02,7.0,0.9606774077358096
1127,0.006,0.008,7.0,0.9993136143981668
1128,0.006,0.009,7.0,0.978416268800083
1129,0.006,0.0099,7.0,1.0129933164043519
1130,0.006,0.01,7.0,0.986551792331465
1131,0.006,0.011,7.0,0.936605024722422
1132,0.006,0.012,7.0,1.001599378303734
1133,0.006,0.02,7.0,0.9578738439593807
1134,0.007,0.008,7.0,0.9434799405065943
1135,0.007,0.009,7.0,0.9476791487366132
1136,0.007,0.0099,7.0,0.9830641582668104
1137,0.007,0.01,7.0,0.9728448607364364
1138,0.007,0.011,7.0,1.0372774655224657
1139,0.007,0.012,7.0,1.0006587181887556
1140,0.007,0.02,7.0,1.0198712123567835
1141,0.008,0.008,7.0,1.0403331739968946
1142,0.008,0.009,7.0,1.016578747026365
1143,0.008,0.0099,7.0,0.9931212615500516
1144,0.008,0.01,7.0,0.9878994622668593
1145,0.008,0.011,7.0,0.9490304946152133
1146,0.008,0.012,7.0,0.9947087088584352
1147,0.008,0.02,7.0,0.9466042299321886
1148,0.009000000000000001,0.008,7.0,0.9716747110641665
1149,0.009000000000000001,0.009,7.0,0.9991850714840587
1150,0.009000000000000001,0.0099,7.0,0.96016386078226
1151,0.009000000000000001,0.01,7.0,0.9689413594551443
1152,0.009000000000000001,0.011,7.0,0.9976340499815587
1153,0.009000000000000001,0.012,7.0,0.9822189425309701
1154,0.009000000000000001,0.02,7.0,0.9871879298603692
1155,0.010000000000000002,0.008,7.0,1.0293979987547264
1156,0.010000000000000002,0.009,7.0,0.9798406376482136
1157,0.010000000000000002,0.0099,7.0,0.9365648639588899
1158,0.010000000000000002,0.01,7.0,1.0314701081592526
1159,0.010000000000000002,0.011,7.0,0.9966502602887879
1160,0.010000000000000002,0.012,7.0,0.9739300227250314
1161,0.010000000000000002,0.02,7.0,1.0129265980941946
1162,0.011,0.008,7.0,0.9595125558347636
1163,0.011,0.009,7.0,0.9866541621518043
1164,0.011,0.0099,7.0,1.0564347278539685
1165,0.011,0.01,7.0,0.9929089449533174
1166,0.011,0.011,7.0,0.9893694824350856
1167,0.011,0.012,7.0,0.9588442442481095
1168,0.011,0.02,7.0,1.0516312890497144
1169,0.012,0.008,7.0,0.954705668647921
1170,0.012,0.009,7.0,0.9441399320773213
1171,0.012,0.0099,7.0,1.0169948603590038
1172,0.012,0.01,7.0,0.9379321404833644
1173,0.012,0.011,7.0,0.94767900604303
1174,0.012,0.012,7.0,0.9905087487184638
1175,0.012,0.02,7.0,0.9755508297579742
1176,0.013000000000000001,0.008,7.0,1.0271181594561782
1177,0.013000000000000001,0.009,7.0,0.9731990441941109
1178,0.013000000000000001,0.0099,7.0,0.9741642171951567
1179,0.013000000000000001,0.01,7.0,0.948209054810661
1180,0.013000000000000001,0.011,7.0,1.0025326194971012
1181,0.013000000000000001,0.012,7.0,1.0194867485513672
1182,0.013000000000000001,0.02,7.0,0.9474511871333196
1183,0.014000000000000002,0.008,7.0,1.0245813500549523
1184,0.014000000000000002,0.009,7.0,0.9657834881399432
1185,0.014000000000000002,0.0099,7.0,0.9655321251144059
1186,0.014000000000000002,0.01,7.0,0.97262378831612
1187,0.014000000000000002,0.011,7.0,0.944880928496574
1188,0.014000000000000002,0.012,7.0,0.9664257791691301
1189,0.014000000000000002,0.02,7.0,0.9504479858873975
1190,0.015,0.008,7.0,1.0074879834065096
1191,0.015,0.009,7.0,0.9463213052991232
1192,0.015,0.0099,7.0,0.9973609801516522
1193,0.015,0.01,7.0,0.9497632388282433
1194,0.015,0.011,7.0,1.0138513274805216
1195,0.015,0.012,7.0,0.9367048143754488
1196,0.015,0.02,7.0,1.0607429169960854
1197,0.016,0.008,7.0,0.9943454781222486
1198,0.016,0.009,7.0,0.9793970598042718
1199,0.016,0.0099,7.0,0.9754521103229787
1200,0.016,0.01,7.0,0.980479532627521
1201,0.016,0.011,7.0,0.9415920928801073
1202,0.016,0.012,7.0,1.0389514580164196
1203,0.016,0.02,7.0,0.9606925471148766
1204,0.017,0.008,7.0,0.9725510865999434
1205,0.017,0.009,7.0,1.0202325721708239
1206,0.017,0.0099,7.0,1.0051437558093286
1207,0.017,0.01,7.0,0.941881408842017
1208,0.017,0.011,7.0,0.9560358427487976
1209,0.017,0.012,7.0,0.9374113542904395
1210,0.017,0.02,7.0,0.9713560715868247
1211,0.018000000000000002,0.008,7.0,1.0049199646347677
1212,0.018000000000000002,0.009,7.0,0.960730400358989
1213,0.018000000000000002,0.0099,7.0,0.9630790001539221
1214,0.018000000000000002,0.01,7.0,0.9517920985397489
1215,0.018000000000000002,0.011,7.0,1.0054137329973818
1216,0.018000000000000002,0.012,7.0,0.9751445627196181
1217,0.018000000000000002,0.02,7.0,0.9798642050555996
1218,0.019000000000000003,0.008,7.0,0.9592281570712297
1219,0.019000000000000003,0.009,7.0,1.0326094143159126
1220,0.019000000000000003,0.0099,7.0,0.9609991133297398
1221,0.019000000000000003,0.01,7.0,1.0097455094131893
1222,0.019000000000000003,0.011,7.0,0.9640456022708515
1223,0.019000000000000003,0.012,7.0,0.9762974060876981
1224,0.019000000000000003,0.02,7.0,0.9599292158322765
1225,0.02,0.008,7.0,0.9941451050240775
1226,0.02,0.009,7.0,0.945054609018842
1227,0.02,0.0099,7.0,0.9830700021769998
1228,0.02,0.01,7.0,0.9687534304546113
1229,0.02,0.011,7.0,0.9385985469631137
1230,0.02,0.012,7.0,0.9457965281155001
1231,0.02,0.02,7.0,1.005797087444747
1232,0.025,0.008,7.0,0.9923079470989585
1233,0.025,0.009,7.0,0.9924666299775688
1234,0.025,0.0099,7.0,1.0183936849155266
1235,0.025,0.01,7.0,0.9962943025551441
1236,0.025,0.011,7.0,0.938634984828782
1237,0.025,0.012,7.0,0.9484054389106782
1238,0.025,0.02,7.0,0.9689409613770488
1239,0.030000000000000002,0.008,7.0,0.9665502287910238
1240,0.030000000000000002,0.009,7.0,0.9792654770090344
1241,0.030000000000000002,0.0099,7.0,0.9532214629421973
1242,0.030000000000000002,0.01,7.0,1.0157277519550567
1243,0.030000000000000002,0.011,7.0,1.0071195966340076
1244,0.030000000000000002,0.012,7.0,0.959939561716527
1245,0.030000000000000002,0.02,7.0,0.9954356955637204
1246,0.035,0.008,7.0,0.9872140030945996
1247,0.035,0.009,7.0,1.0152471602754802
1248,0.035,0.0099,7.0,0.9406000679000744
1249,0.035,0.01,7.0,1.031887211405031
1250,0.035,0.011,7.0,0.9405151966723545
1251,0.035,0.012,7.0,0.991855771806682
1252,0.035,0.02,7.0,1.0491700133052322
1253,0.04000000000000001,0.008,7.0,1.002616538883285
1254,0.04000000000000001,0.009,7.0,0.9831747346996781
1255,0.04000000000000001,0.0099,7.0,0.9735717526290615
1256,0.04000000000000001,0.01,7.0,0.9706066376514817
1257,0.04000000000000001,0.011,7.0,0.9886348744372223
1258,0.04000000000000001,0.012,7.0,0.9850855230313904
1259,0.04000000000000001,0.02,7.0,1.00096698465508
1260,0.045000000000000005,0.008,7.0,1.0172227508119938
1261,0.045000000000000005,0.009,7.0,0.9451983879946786
1262,0.045000000000000005,0.0099,7.0,1.016174522525189
1263,0.045000000000000005,0.01,7.0,1.008420866754549
1264,0.045000000000000005,0.011,7.0,0.9441028237992215
1265,0.045000000000000005,0.012,7.0,0.9763724093612677
1266,0.045000000000000005,0.02,7.0,0.9710644268099352
1267,0.05,0.008,7.0,0.9920077313758588
1268,0.05,0.009,7.0,0.9889613411544605
1269,0.05,0.0099,7.0,0.9952103087390451
1270,0.05,0.01,7.0,0.939681224484078
1271,0.05,0.011,7.0,1.0101827843507267
1272,0.05,0.012,7.0,0.9634588877436139
1273,0.05,0.02,7.0,0.9862708245843266
1274,0.001,0.008,8.0,1.0048191157178221
1275,0.001,0.009,8.0,1.0233438626393194
1276,0.001,0.0099,8.0,1.032223275097332
1277,0.001,0.01,8.0,0.9688268368450209
1278,0.001,0.011,8.0,0.9392670455958483
1279,0.001,0.012,8.0,0.9393897146006134
1280,0.001,0.02,8.0,0.9575297678592808
1281,0.002,0.008,8.0,0.9950511377702881
1282,0.002,0.009,8.0,0.967511412450786
1283,0.002,0.0099,8.0,1.0237640243371098
1284,0.002,0.01,8.0,0.9711352956354572
1285,0.002,0.011,8.0,0.9595653501477801
1286,0.002,0.012,8.0,0.9446950866744692
1287,0.002,0.02,8.0,0.9403512921693332
1288,0.003,0.008,8.0,0.9623269952345649
1289,0.003,0.009,8.0,0.9732301545893562
1290,0.003,0.0099,8.0,0.9496596290422866
1291,0.003,0.01,8.0,1.0191241853765614
1292,0.003,0.011,8.0,0.9602363097530198
1293,0.003,0.012,8.0,0.983099425163795
1294,0.003,0.02,8.0,1.0679754243068338
1295,0.004,0.008,8.0,0.9796074310088503
1296,0.004,0.009,8.0,0.9796150108147526
1297,0.004,0.0099,8.0,0.978081677097317
1298,0.004,0.01,8.0,1.0126601069102856
1299,0.004,0.011,8.0,1.0060479080258067
1300,0.004,0.012,8.0,0.9588205027980555
1301,0.004,0.02,8.0,0.9674386249954872
1302,0.005,0.008,8.0,1.0378855700184793
1303,0.005,0.009,8.0,1.008588641257015
1304,0.005,0.0099,8.0,0.9496355293997216
1305,0.005,0.01,8.0,1.0022143169451894
1306,0.005,0.011,8.0,0.9889949910281557
1307,0.005,0.012,8.0,0.9619517714929596
1308,0.005,0.02,8.0,1.0177630134827107
1309,0.006,0.008,8.0,0.9659079820886668
1310,0.006,0.009,8.0,0.9850290004543402
1311,0.006,0.0099,8.0,0.980858553384306
1312,0.006,0.01,8.0,0.9334947388760307
1313,0.006,0.011,8.0,0.9423779027171242
1314,0.006,0.012,8.0,0.9883227884328988
1315,0.006,0.02,8.0,0.9602071648163778
1316,0.007,0.008,8.0,0.9852076574433554
1317,0.007,0.009,8.0,0.9835129984774889
1318,0.007,0.0099,8.0,0.9526582569937403
1319,0.007,0.01,8.0,0.9909798571002584
1320,0.007,0.011,8.0,0.9532273784366431
1321,0.007,0.012,8.0,0.973083581237869
1322,0.007,0.02,8.0,0.9530546917307838
1323,0.008,0.008,8.0,0.9400205805924183
1324,0.008,0.009,8.0,0.9886393451695471
1325,0.008,0.0099,8.0,0.9741470020191952
1326,0.008,0.01,8.0,0.9438526250761149
1327,0.008,0.011,8.0,0.9518450817306213
1328,0.008,0.012,8.0,0.9961805665100438
1329,0.008,0.02,8.0,1.0196436460385878
1330,0.009000000000000001,0.008,8.0,0.9967037676255849
1331,0.009000000000000001,0.009,8.0,1.0182228744653725
1332,0.009000000000000001,0.0099,8.0,0.9942540010981636
1333,0.009000000000000001,0.01,8.0,0.9357511482564489
1334,0.009000000000000001,0.011,8.0,0.9728767169735172
1335,0.009000000000000001,0.012,8.0,1.011233281476454
1336,0.009000000000000001,0.02,8.0,1.0044626191656965
1337,0.010000000000000002,0.008,8.0,0.9887877852147066
1338,0.010000000000000002,0.009,8.0,1.0577896691844781
1339,0.010000000000000002,0.0099,8.0,0.9718466021226285
1340,0.010000000000000002,0.01,8.0,1.0223288204406122
1341,0.010000000000000002,0.011,8.0,0.9373983937061536
1342,0.010000000000000002,0.012,8.0,1.0060248063766646
1343,0.010000000000000002,0.02,8.0,0.957488087439284
1344,0.011,0.008,8.0,1.0226166450180636
1345,0.011,0.009,8.0,0.9400591250594194
1346,0.011,0.0099,8.0,0.9354661986639599
1347,0.011,0.01,8.0,0.9695523994576672
1348,0.011,0.011,8.0,0.9349458062790925
1349,0.011,0.012,8.0,0.9361151144252109
1350,0.011,0.02,8.0,0.9728659795629607
1351,0.012,0.008,8.0,1.0192674571848783
1352,0.012,0.009,8.0,0.9763834859239339
1353,0.012,0.0099,8.0,1.0154206438960582
1354,0.012,0.01,8.0,0.9631548649209672
1355,0.012,0.011,8.0,0.9329931178043002
1356,0.012,0.012,8.0,0.9575570991826146
1357,0.012,0.02,8.0,0.9663202235553109
1358,0.013000000000000001,0.008,8.0,0.9389724826736195
1359,0.013000000000000001,0.009,8.0,0.9430542083198871
1360,0.013000000000000001,0.0099,8.0,0.9962369931950886
1361,0.013000000000000001,0.01,8.0,0.9391905536149939
1362,0.013000000000000001,0.011,8.0,0.9891688032589516
1363,0.013000000000000001,0.012,8.0,0.9735351814582252
1364,0.013000000000000001,0.02,8.0,1.0130512322018852
1365,0.014000000000000002,0.008,8.0,1.0274422742819591
1366,0.014000000000000002,0.009,8.0,0.9378288351424297
1367,0.014000000000000002,0.0099,8.0,1.0021245278106043
1368,0.014000000000000002,0.01,8.0,0.9435155228947956
1369,0.014000000000000002,0.011,8.0,0.9530633347762854
1370,0.014000000000000002,0.012,8.0,1.0070544597061861
1371,0.014000000000000002,0.02,8.0,1.0212269171825257
1372,0.015,0.008,8.0,1.008774871394882
1373,0.015,0.009,8.0,0.9457819496351655
1374,0.015,0.0099,8.0,0.9946446511855679
1375,0.015,0.01,8.0,0.9568241111299272
1376,0.015,0.011,8.0,0.9552101563341412
1377,0.015,0.012,8.0,1.0254592279707908
1378,0.015,0.02,8.0,1.0315655382652142
1379,0.016,0.008,8.0,0.9456748508193705
1380,0.016,0.009,8.0,0.978073667112757
1381,0.016,0.0099,8.0,1.0140551798606645
1382,0.016,0.01,8.0,1.0513099856771022
1383,0.016,0.011,8.0,0.9756148264118303
1384,0.016,0.012,8.0,0.9663715665144981
1385,0.016,0.02,8.0,0.9648698052860054
1386,0.017,0.008,8.0,0.9434563464439669
1387,0.017,0.009,8.0,0.988284956534248
1388,0.017,0.0099,8.0,1.0295971671998796
1389,0.017,0.01,8.0,1.017531375419011
1390,0.017,0.011,8.0,0.9769225430143746
1391,0.017,0.012,8.0,1.0354446126508217
1392,0.017,0.02,8.0,0.9720320024608161
1393,0.018000000000000002,0.008,8.0,0.9860572684454034
1394,0.018000000000000002,0.009,8.0,0.9625602207817535
1395,0.018000000000000002,0.0099,8.0,0.9559608705269009
1396,0.018000000000000002,0.01,8.0,1.0231609777220227
1397,0.018000000000000002,0.011,8.0,0.9700794343733071
1398,0.018000000000000002,0.012,8.0,0.9465913183993243
1399,0.018000000000000002,0.02,8.0,0.9534943922108023
1400,0.019000000000000003,0.008,8.0,0.953754639135888
1401,0.019000000000000003,0.009,8.0,0.9514484196868415
1402,0.019000000000000003,0.0099,8.0,0.9483929044838628
1403,0.019000000000000003,0.01,8.0,0.9405059554639226
1404,0.019000000000000003,0.011,8.0,0.9660290713442918
1405,0.019000000000000003,0.012,8.0,0.9830076436214613
1406,0.019000000000000003,0.02,8.0,1.0122321850292522
1407,0.02,0.008,8.0,1.0360459939070141
1408,0.02,0.009,8.0,0.9547175615780865
1409,0.02,0.0099,8.0,0.9411692008719201
1410,0.02,0.01,8.0,0.9584059627748206
1411,0.02,0.011,8.0,0.9891850816188059
1412,0.02,0.012,8.0,0.9715717174417392
1413,0.02,0.02,8.0,0.9897490678581815
1414,0.025,0.008,8.0,0.9678061958729067
1415,0.025,0.009,8.0,1.0106896761498443
1416,0.025,0.0099,8.0,0.9641234148292134
1417,0.025,0.01,8.0,1.005565748871931
1418,0.025,0.011,8.0,1.0315311105560951
1419,0.025,0.012,8.0,0.9662839123432316
1420,0.025,0.02,8.0,0.9404681679516915
1421,0.030000000000000002,0.008,8.0,0.9713795182316431
1422,0.030000000000000002,0.009,8.0,0.9727057899933709
1423,0.030000000000000002,0.0099,8.0,1.0021046900883233
1424,0.030000000000000002,0.01,8.0,0.9780434035871315
1425,0.030000000000000002,0.011,8.0,0.9413033674960637
1426,0.030000000000000002,0.012,8.0,0.978285582927154
1427,0.030000000000000002,0.02,8.0,0.9485729966495752
1428,0.035,0.008,8.0,1.0043531500163299
1429,0.035,0.009,8.0,1.0050061512564485
1430,0.035,0.0099,8.0,0.9685774332540404
1431,0.035,0.01,8.0,0.967944134812519
1432,0.035,0.011,8.0,1.0070956116919436
1433,0.035,0.012,8.0,0.967225974629566
1434,0.035,0.02,8.0,1.0206516414009523
1435,0.04000000000000001,0.008,8.0,0.9503623843654286
1436,0.04000000000000001,0.009,8.0,1.0234343789929166
1437,0.04000000000000001,0.0099,8.0,1.051317777726015
1438,0.04000000000000001,0.01,8.0,0.9943336399046212
1439,0.04000000000000001,0.011,8.0,1.0008343521019125
1440,0.04000000000000001,0.012,8.0,1.0323540378070604
1441,0.04000000000000001,0.02,8.0,0.9589589956643282
1442,0.045000000000000005,0.008,8.0,1.0138193467119332
1443,0.045000000000000005,0.009,8.0,0.9530236936375553
1444,0.045000000000000005,0.0099,8.0,0.9758196980393482
1445,0.045000000000000005,0.01,8.0,0.9716862074347424
1446,0.045000000000000005,0.011,8.0,0.964853073017837
1447,0.045000000000000005,0.012,8.0,0.9987451217678547
1448,0.045000000000000005,0.02,8.0,0.9504765633636676
1449,0.05,0.008,8.0,1.0032025402581037
1450,0.05,0.009,8.0,0.9952947049318966
1451,0.05,0.0099,8.0,0.9803437611143907
1452,0.05,0.01,8.0,1.0417143975396423
1453,0.05,0.011,8.0,0.9781473357334259
1454,0.05,0.012,8.0,0.956001285879083
1455,0.05,0.02,8.0,1.0284365707567689
1456,0.001,0.008,9.0,0.9861329360562832
1457,0.001,0.009,9.0,0.9385734755511477
1458,0.001,0.0099,9.0,0.9823119467023842
1459,0.001,0.01,9.0,0.9383964853039903
1460,0.001,0.011,9.0,1.0044277274559255
1461,0.001,0.012,9.0,0.959866335644841
1462,0.001,0.02,9.0,0.9460484980218679
1463,0.002,0.008,9.0,0.9782227101559204
1464,0.002,0.009,9.0,0.9638081674066764
1465,0.002,0.0099,9.0,0.941453886226801
1466,0.002,0.01,9.0,0.9610045397367871
1467,0.002,0.011,9.0,0.9504124298060073
1468,0.002,0.012,9.0,0.9403085470991803
1469,0.002,0.02,9.0,0.9547517358045847
1470,0.003,0.008,9.0,0.9469698170102486
1471,0.003,0.009,9.0,0.9491275376609399
1472,0.003,0.0099,9.0,0.9934555536616324
1473,0.003,0.01,9.0,0.9991949429311218
1474,0.003,0.011,9.0,0.9566067421251997
1475,0.003,0.012,9.0,0.9582757753182461
1476,0.003,0.02,9.0,0.9508487376049222
1477,0.004,0.008,9.0,0.9642132346974037
1478,0.004,0.009,9.0,1.0008940111811564
1479,0.004,0.0099,9.0,1.0123185194928952
1480,0.004,0.01,9.0,0.9751142687053334
1481,0.004,0.011,9.0,0.9295206109439403
1482,0.004,0.012,9.0,0.9887975117273984
1483,0.004,0.02,9.0,0.961980333781642
1484,0.005,0.008,9.0,1.001537826231916
1485,0.005,0.009,9.0,1.0169240273603548
1486,0.005,0.0099,9.0,0.965044895063088
1487,0.005,0.01,9.0,0.9619463864366644
1488,0.005,0.011,9.0,0.9827376267362928
1489,0.005,0.012,9.0,0.9961696772066361
1490,0.005,0.02,9.0,0.9517948269751094
1491,0.006,0.008,9.0,1.0098475317471665
1492,0.006,0.009,9.0,1.0139357489425551
1493,0.006,0.0099,9.0,0.9875437387994299
1494,0.006,0.01,9.0,0.9707895251570682
1495,0.006,0.011,9.0,0.9862894001651401
1496,0.006,0.012,9.0,0.9533511355945394
1497,0.006,0.02,9.0,0.9463201826240142
1498,0.007,0.008,9.0,0.9552047995387206
1499,0.007,0.009,9.0,0.986496774257896
1500,0.007,0.0099,9.0,1.0151940636429444
1501,0.007,0.01,9.0,0.9472356857105415
1502,0.007,0.011,9.0,1.029113796927275
1503,0.007,0.012,9.0,0.9934736940675509
1504,0.007,0.02,9.0,0.9628169812574352
1505,0.008,0.008,9.0,0.956519018440381
1506,0.008,0.009,9.0,0.9622550484028276
1507,0.008,0.0099,9.0,1.031141627739539
1508,0.008,0.01,9.0,0.9585078748546971
1509,0.008,0.011,9.0,0.9823062888644465
1510,0.008,0.012,9.0,0.9546024038903121
1511,0.008,0.02,9.0,0.9825073538738774
1512,0.009000000000000001,0.008,9.0,0.9646182634819794
1513,0.009000000000000001,0.009,9.0,1.0237619772278168
1514,0.009000000000000001,0.0099,9.0,0.9523982900149778
1515,0.009000000000000001,0.01,9.0,0.9887889006471771
1516,0.009000000000000001,0.011,9.0,0.9946618473736326
1517,0.009000000000000001,0.012,9.0,0.9508237729809309
1518,0.009000000000000001,0.02,9.0,0.9894275876818036
1519,0.010000000000000002,0.008,9.0,1.0440172581444076
1520,0.010000000000000002,0.009,9.0,0.9541601603069416
1521,0.010000000000000002,0.0099,9.0,0.9474354191922985
1522,0.010000000000000002,0.01,9.0,1.0255437333752004
1523,0.010000000000000002,0.011,9.0,0.9926220765673751
1524,0.010000000000000002,0.012,9.0,0.9563526433365611
1525,0.010000000000000002,0.02,9.0,0.9498864724446329
1526,0.011,0.008,9.0,0.9399669369449564
1527,0.011,0.009,9.0,0.9913601787972292
1528,0.011,0.0099,9.0,0.974558651490104
1529,0.011,0.01,9.0,0.974388541521638
1530,0.011,0.011,9.0,0.9618878080891882
1531,0.011,0.012,9.0,0.94320671429634
1532,0.011,0.02,9.0,0.9525848361293293
1533,0.012,0.008,9.0,1.021253530919429
1534,0.012,0.009,9.0,0.975189149356818
1535,0.012,0.0099,9.0,0.9570627593002299
1536,0.012,0.01,9.0,0.9800071820782214
1537,0.012,0.011,9.0,0.9773557503842882
1538,0.012,0.012,9.0,0.9619293317017698
1539,0.012,0.02,9.0,0.9832056817479323
1540,0.013000000000000001,0.008,9.0,0.9514174651640956
1541,0.013000000000000001,0.009,9.0,0.9930819730987116
1542,0.013000000000000001,0.0099,9.0,1.0104943727760154
1543,0.013000000000000001,0.01,9.0,1.0046420348489198
1544,0.013000000000000001,0.011,9.0,0.9484829697785898
1545,0.013000000000000001,0.012,9.0,1.0154758387718106
1546,0.013000000000000001,0.02,9.0,1.044387609230058
1547,0.014000000000000002,0.008,9.0,0.9915106475700793
1548,0.014000000000000002,0.009,9.0,1.0350453061920561
1549,0.014000000000000002,0.0099,9.0,0.9512913832023805
1550,0.014000000000000002,0.01,9.0,1.0104687824928236
1551,0.014000000000000002,0.011,9.0,0.9511945974188316
1552,0.014000000000000002,0.012,9.0,0.9493198164581144
1553,0.014000000000000002,0.02,9.0,0.9911079860620148
1554,0.015,0.008,9.0,0.9521724623916412
1555,0.015,0.009,9.0,1.0155132079023197
1556,0.015,0.0099,9.0,1.0270901440744984
1557,0.015,0.01,9.0,1.0072554230678419
1558,0.015,0.011,9.0,0.967331932538422
1559,0.015,0.012,9.0,0.9945246940473474
1560,0.015,0.02,9.0,1.0683909079176304
1561,0.016,0.008,9.0,1.0076550272959475
1562,0.016,0.009,9.0,0.9700474235441104
1563,0.016,0.0099,9.0,0.9967747627052163
1564,0.016,0.01,9.0,0.9685604944610297
1565,0.016,0.011,9.0,0.9725891463403843
1566,0.016,0.012,9.0,0.9474989494230991
1567,0.016,0.02,9.0,0.9623731305165055
1568,0.017,0.008,9.0,1.0558905725516945
1569,0.017,0.009,9.0,1.0080614478987617
1570,0.017,0.0099,9.0,0.98593411920311
1571,0.017,0.01,9.0,0.9494583554530511
1572,0.017,0.011,9.0,1.0143986251291752
1573,0.017,0.012,9.0,0.943310836557437
1574,0.017,0.02,9.0,0.9780062933059508
1575,0.018000000000000002,0.008,9.0,0.955021154270856
1576,0.018000000000000002,0.009,9.0,1.0186641868362343
1577,0.018000000000000002,0.0099,9.0,0.938188290265226
1578,0.018000000000000002,0.01,9.0,0.965227013788189
1579,0.018000000000000002,0.011,9.0,0.9386043114376589
1580,0.018000000000000002,0.012,9.0,0.977850130683508
1581,0.018000000000000002,0.02,9.0,0.9521590732364166
1582,0.019000000000000003,0.008,9.0,0.9726680282461408
1583,0.019000000000000003,0.009,9.0,0.9519964719858234
1584,0.019000000000000003,0.0099,9.0,0.9446156163862364
1585,0.019000000000000003,0.01,9.0,1.008244134489998
1586,0.019000000000000003,0.011,9.0,1.053403965617377
1587,0.019000000000000003,0.012,9.0,0.9616720860795758
1588,0.019000000000000003,0.02,9.0,0.9456917216156323
1589,0.02,0.008,9.0,0.9836632402573657
1590,0.02,0.009,9.0,1.0412734055748998
1591,0.02,0.0099,9.0,0.939066224915982
1592,0.02,0.01,9.0,0.9713871656037562
1593,0.02,0.011,9.0,0.9557218670317266
1594,0.02,0.012,9.0,0.9750474393174726
1595,0.02,0.02,9.0,0.9457570851646411
1596,0.025,0.008,9.0,1.0069207313220152
1597,0.025,0.009,9.0,0.9706207861555117
1598,0.025,0.0099,9.0,1.0085617383869316
1599,0.025,0.01,9.0,0.9878757485388617
1600,0.025,0.011,9.0,0.9830970088451162
1601,0.025,0.012,9.0,0.9499315487380353
1602,0.025,0.02,9.0,0.9812281642569605
1603,0.030000000000000002,0.008,9.0,0.9961646953420968
1604,0.030000000000000002,0.009,9.0,0.9697456258994451
1605,0.030000000000000002,0.0099,9.0,0.9651306058384855
1606,0.030000000000000002,0.01,9.0,1.0342878252438035
1607,0.030000000000000002,0.011,9.0,1.0192287871215873
1608,0.030000000000000002,0.012,9.0,0.9483144446037045
1609,0.030000000000000002,0.02,9.0,0.9851831250015054
1610,0.035,0.008,9.0,0.9790684709536125
1611,0.035,0.009,9.0,0.9467207195449439
1612,0.035,0.0099,9.0,0.9560881894173845
1613,0.035,0.01,9.0,0.9863476352934157
1614,0.035,0.011,9.0,0.980619315413601
1615,0.035,0.012,9.0,0.9539680654913717
1616,0.035,0.02,9.0,1.0097126254421893
1617,0.04000000000000001,0.008,9.0,1.053254839495918
1618,0.04000000000000001,0.009,9.0,0.957620593440011
1619,0.04000000000000001,0.0099,9.0,0.9654073777607545
1620,0.04000000000000001,0.01,9.0,0.9454954135682487
1621,0.04000000000000001,0.011,9.0,0.9709647587373487
1622,0.04000000000000001,0.012,9.0,0.979206022535202
1623,0.04000000000000001,0.02,9.0,0.9533623940847782
1624,0.045000000000000005,0.008,9.0,0.9421824243231515
1625,0.045000000000000005,0.009,9.0,0.965099485478943
1626,0.045000000000000005,0.0099,9.0,1.0026424676341885
