r,col_weight,RMSE
5,0.2,0.884788363317712
5,0.21,0.8833280228207286
5,0.22,0.8819555789668507
5,0.23,0.8821799775430486
5,0.24,0.8821223122256567
5,0.25,0.8815091268385707
5,0.26,0.8817264507870387
5,0.2700000000000001,0.8824558639237762
5,0.2800000000000001,0.8830393880822672
5,0.2900000000000001,0.8825852314763445
5,0.3000000000000001,0.8824615084792393
5,0.3100000000000001,0.8826087284841203
5,0.3200000000000001,0.8829890015503082
5,0.3300000000000001,0.8842151257773955
5,0.3400000000000001,0.8850233561736703
5,0.3500000000000001,0.8858244805471618
5,0.3600000000000001,0.8864152430004311
5,0.3700000000000001,0.8867329597382952
5,0.3800000000000001,0.8875380735273357
5,0.3900000000000002,0.8875905168095161
5,0.4000000000000002,0.8886559926391525
5,0.4100000000000002,0.8900594719932646
5,0.4200000000000002,0.8836953844473675
5,0.4300000000000002,0.8827117701016308
5,0.4400000000000002,0.8814571892079874
5,0.4500000000000002,0.8813118035795643
5,0.4600000000000002,0.8810776719609209
5,0.4700000000000002,0.8810833824763203
5,0.4800000000000002,0.8812425795989549
5,0.4900000000000002,0.8819533549583233
5,0.5000000000000002,0.8821900935203483
5,0.5100000000000002,0.8818371751387211
5,0.5200000000000002,0.8814979801812884
5,0.5300000000000002,0.8824399474866286
5,0.5400000000000003,0.8823166710390116
5,0.5500000000000003,0.8833842093496622
5,0.5600000000000003,0.8839968837445755
5,0.5700000000000003,0.884454616859345
5,0.5800000000000003,0.8856223441555794
5,0.5900000000000003,0.8853700821502782
5,0.6000000000000003,0.8868213605476725
6,0.2,0.88744287356818
6,0.21,0.8883077959637461
6,0.22,0.8879281177817161
6,0.23,0.8828400256512353
6,0.24,0.8822125475392185
6,0.25,0.8808436276550371
6,0.26,0.8805969770507303
6,0.2700000000000001,0.8806473140941218
6,0.2800000000000001,0.8796358778521421
6,0.2900000000000001,0.8802361841691058
6,0.3000000000000001,0.8813114536370232
6,0.3100000000000001,0.8816130022496006
6,0.3200000000000001,0.8807432738515314
6,0.3300000000000001,0.8811443023922484
6,0.3400000000000001,0.8811105777491194
6,0.3500000000000001,0.8811401131081318
6,0.3600000000000001,0.8827009011817185
6,0.3700000000000001,0.8836835657515731
6,0.3800000000000001,0.8840801028637836
6,0.3900000000000002,0.8855239203014346
6,0.4000000000000002,0.885347398944328
6,0.4100000000000002,0.885183709202448
6,0.4200000000000002,0.8854057119235256
6,0.4300000000000002,0.8883186689870971
6,0.4400000000000002,0.8883425440405742
6,0.4500000000000002,0.8822371680143736
6,0.4600000000000002,0.8814357965576233
6,0.4700000000000002,0.8801965512111126
6,0.4800000000000002,0.8799127727839832
6,0.4900000000000002,0.8801346642613406
6,0.5000000000000002,0.8792192504390056
6,0.5100000000000002,0.8796877070394387
