stop,r,RMSE
0.0069,5,0.8845122356843124
0.0069,6,0.8829800583708308
0.0069,7,0.8829291031010554
0.0069,8,0.8819376226418023
0.0069,9,0.8809990321861196
0.0069,10,0.8811029959496591
0.0069,11,0.8828703105842304
0.0069,12,0.8840947252614056
0.0069,13,0.884866610276027
0.0069,14,0.8857239347237862
0.0069,15,0.8849843908282067
0.0069,16,0.8861006413149662
0.0069,17,0.8869560359108994
0.0069,18,0.887333096627547
0.0069,19,0.8884028655963317
0.0069,20,0.8882733452743078
0.0069,25,0.8847111685932338
0.0069,30,0.8837605288694358
0.0069,35,0.88402642188398
0.0069,40,0.885310161064953
0.0069,45,0.8856642370292626
0.0069,50,0.8874864128572746
0.007,5,0.8845093218950135
0.007,6,0.8829449919546086
0.007,7,0.8828976251331403
0.007,8,0.8819625799465115
0.007,9,0.8810373968640265
0.007,10,0.8808802327601823
0.007,11,0.8829019521509315
0.007,12,0.8842794101767341
0.007,13,0.8844931093851791
0.007,14,0.8854975225538904
0.007,15,0.885071215196502
0.007,16,0.8863610486114819
0.007,17,0.8868138945979387
0.007,18,0.8874818192082782
0.007,19,0.8879643222634361
0.007,20,0.887104373894221
0.007,25,0.8830801473201559
0.007,30,0.8835879197715605
0.007,35,0.8851835154988528
0.007,40,0.8844561015783738
0.007,45,0.886570556367975
0.007,50,0.8878134343887191
0.0071,5,0.8845122609036717
0.0071,6,0.8829665327049806
0.0071,7,0.8829095482978976
0.0071,8,0.8819387554291299
0.0071,9,0.8809074069354041
0.0071,10,0.8807188165251523
0.0071,11,0.8820761476217336
0.0071,12,0.8842353189491405
0.0071,13,0.8847221423040593
0.0071,14,0.8859383842898387
0.0071,15,0.884850832283299
0.0071,16,0.8856113146462224
0.0071,17,0.8867878091843391
0.0071,18,0.8871470046006574
0.0071,19,0.8862333197462207
0.0071,20,0.8847801600270724
0.0071,25,0.8839743473385037
0.0071,30,0.8833311136302188
0.0071,35,0.8855996520483952
0.0071,40,0.8857271884016915
0.0071,45,0.8857320976313713
0.0071,50,0.888536923271044
0.007200000000000001,5,0.8845140384325973
0.007200000000000001,6,0.8829522119990021
0.007200000000000001,7,0.8829028782467001
0.007200000000000001,8,0.8819326978036555
0.007200000000000001,9,0.8809432453942024
0.007200000000000001,10,0.8810429108910881
0.007200000000000001,11,0.8829102003403622
0.007200000000000001,12,0.8846944920718722
0.007200000000000001,13,0.8844602220393823
0.007200000000000001,14,0.8859011054058153
0.007200000000000001,15,0.8851235822409993
0.007200000000000001,16,0.8851850118322988
0.007200000000000001,17,0.8868775578012897
0.007200000000000001,18,0.8861418524271899
0.007200000000000001,19,0.8848703937078548
0.007200000000000001,20,0.8844142034776625
0.007200000000000001,25,0.8838678774608936
0.007200000000000001,30,0.8838462112027928
0.007200000000000001,35,0.8851994107543331
0.007200000000000001,40,0.8853407952109789
0.007200000000000001,45,0.885885293397071
0.007200000000000001,50,0.8874250035901466
0.007300000000000001,5,0.88451314810503
0.007300000000000001,6,0.8829747108862148
0.007300000000000001,7,0.8829034350258088
0.007300000000000001,8,0.8819384000832784
0.007300000000000001,9,0.881004284645194
0.007300000000000001,10,0.8808675145685315
0.007300000000000001,11,0.8829265302614887
0.007300000000000001,12,0.8840440978979638
0.007300000000000001,13,0.8848888542669399
0.007300000000000001,14,0.8856517212649337
0.007300000000000001,15,0.885169995445342
