r,rmse_0,rmse_global_mean,rmse_row_means,rmse_means_weighted,rmse_col_means
1,3.095144255925897,0.9472002284670225,0.8808741211648261,0.8872768247752157,0.964824474364652
2,3.006560034504202,0.9479647623932318,0.8799513276324042,0.8837045005294513,0.953583469814815
3,2.943416136008559,0.9444795528578656,0.8796640746184532,0.8810540681830292,0.949136776443152
4,2.9034539060293345,0.9434975666104606,0.87946870091593,0.8797300121273075,0.9456072017797644
5,2.877834748355884,0.9428786630412358,0.8797647117195749,0.8792360705706841,0.9448932209667972
6,2.8523329368369965,0.9424684646675642,0.8780579884168588,0.8784923825528119,0.9442525732690932
7,2.831359364565369,0.9437315109669752,0.8777993813869707,0.8768946097066121,0.9435252945717024
8,2.816583184350182,0.944258870265003,0.8780580431340169,0.875929092487277,0.9433148933703366
9,2.8093194063898097,0.9438577827876936,0.8788451310380715,0.8758340399267729,0.9433548946004688
10,2.80155434565546,0.9440296119376904,0.8790943057423227,0.8753341618421753,0.9420212484812854
11,2.796170895452287,0.9461861880702568,0.8792561591206589,0.8761036510237832,0.9430942726879212
12,2.793529282066463,0.9473960179744534,0.8807800655355804,0.875235750966895,0.9429421560572914
13,2.7889480648779745,0.947102577541682,0.8797195720145284,0.8749215705153216,0.9453258510789462
14,2.783782750543304,0.9459191423675428,0.8805126890074303,0.8757642469280313,0.945872484327428
15,2.784649788866857,0.9475155676388832,0.8828977547375833,0.8769008330435814,0.9450521358739066
16,2.7818183322207286,0.9482413411006264,0.8862886066543187,0.8764598473147728,0.9461164935697184
17,2.780230450064698,0.9486793007459452,0.8888583137418503,0.8769197644010741,0.9484289110198184
18,2.780074670827252,0.9495498594035396,0.8916548180362637,0.876666355263652,0.947914308885559
19,2.778912455270491,0.9493460349408506,0.8946999508537322,0.8768163724204611,0.9463443178936334
20,2.779428481423209,0.9489483167644552,0.8979560082668095,0.8774962325132124,0.9463692585837576
21,2.779065331437585,0.9468457810284256,0.9028370353513792,0.877720297773018,0.947038244571338
22,2.779963410490144,0.9484825451891564,0.9075040102291652,0.8786999732902588,0.9471036146203542
23,2.7800072658424626,0.9471346064172568,0.9079964425441314,0.8787631947623616,0.9467800643593742
24,2.7824046844930264,0.9468388209123954,0.907493837632751,0.8783517696110041,0.9471896889221414
25,2.7835510345737235,0.9470430384079264,0.9087816937520796,0.8785901199146936,0.946300199146108
26,2.786260881055484,0.9493023039078574,0.9090266830447916,0.8786727085915261,0.9464387293639622
27,2.789362870206268,0.9519832787327293,0.9100606651340444,0.8790681823875228,0.9481912768617116
