r,rmse_0,rmse_global_mean,rmse_row_means,rmse_means_weighted,rmse_col_means
84,2.996223934897805,1.0179160477505271,0.9265824945363638,0.8860521532907,0.9558014943176172
85,3.000139521691757,1.0196418981435305,0.9262309623005835,0.8862346967778908,0.9561723443753576
86,3.005265520402413,1.0189966053012387,0.9267861425970632,0.8866060500393085,0.956321735541073
87,3.007136379166604,1.0201424329716622,0.9255719294298512,0.8862010239328421,0.955968761509124
88,3.011218859166884,1.02144837400705,0.9268580998934636,0.8864285996997783,0.956121611838004
89,3.013993632765626,1.0201776932363271,0.927099506510339,0.8868348046088919,0.9575497304780358
90,3.019257866967035,1.0219419689594431,0.9272262669472838,0.8867724159701914,0.9570339877986224
91,3.023781348417402,1.0225641357953428,0.9272898464506136,0.8863098632249186,0.956748920084539
92,3.024645410094303,1.0227115804462408,0.927171548214566,0.8862308754597984,0.9568037496706506
93,3.0299555386730685,1.0238093382452311,0.9282698289713328,0.886830108037003,0.9576139979321034
94,3.0332861097317445,1.025118888085926,0.9280765581322163,0.887498796642504,0.9573028087020218
95,3.0367646572940514,1.024264123095444,0.9278117784855302,0.887877949593059,0.9578853389894456
96,3.0401471398130275,1.024689460590093,0.927869851845006,0.887470792757732,0.9577798576161488
97,3.0465289244289027,1.0247689965319824,0.927983260964104,0.8876233710784595,0.9595303357129248
98,3.0482609381284678,1.0255150866768497,0.9281231738396848,0.8875078358377716,0.9585307057656932
99,3.0508351929820767,1.0256602829696655,0.9292762031187204,0.8878780269585935,0.9582673363634914
100,3.054422022851976,1.0264458872657016,0.929288913582914,0.8873777798851752,0.9596241025328316
