r,RMSE
1,3.65539124644917
2,0.8903104726465099
3,0.8859740549456896
4,0.8803656876213702
5,0.8793263201589289
6,0.878360938545903
7,0.8766024422795143
8,0.8757549184480491
9,0.8758573456514781
10,0.8749169402854774
11,0.8763812040643213
12,0.8751931118603042
13,0.8746868794100304
14,0.8746696462679019
15,0.8749421847024956
16,0.874406575036379
17,0.8760630617091492
18,0.8760555844939969
19,0.876436090490869
20,0.8769101095388423
21,0.8758827885161404
22,0.8759010033290341
23,0.8762694736608446
24,0.8759440444750048
25,0.875813080840039
26,0.8761167596512511
27,0.8754606128759718
28,0.8758511595807708
29,0.8757172953186729
30,0.8748988545789158
31,0.8747663883562284
32,0.8755230849514748
33,0.8749469110236955
34,0.8754957106747755
35,0.8754581978317351
36,0.8762478128928666
37,0.8763146503655548
38,0.8763103435758332
39,0.8764597468484756
40,0.8753610985288226
41,0.876918993356103
42,0.877387447094861
43,0.8778238512312919
44,0.8780340588255447
45,0.8783645127298529
46,0.8785389089911491
47,0.877566449932472
48,0.8786822718864737
49,0.8780126511675861
50,0.8790988328496171
51,0.8792574956152528
52,0.8797814365875926
53,0.8797676349638524
54,0.8790364738159284
55,0.8795582713170026
56,0.8800984851604323
57,0.879790134757524
58,0.8796686228157767
59,0.8802591978437996
60,0.8791477492638216
61,0.8801505384178986
62,0.8793568101244031
63,0.8796682390751872
64,0.8791760884184716
65,0.8799339672765657
66,0.8815544492751547
67,0.8802718885887569
68,0.880412455988068
69,0.8805073289278623
70,0.8808569218081046
71,0.8811657044399942
72,0.8805174798275991
73,0.8807974187296503
74,0.8805406211747754
75,0.8809063643232573
76,0.8807565954288086
77,0.8809415679642282
78,0.8817545074749016
79,0.8810152017483514
80,0.8815471307084616
81,0.8813956075614695
82,0.8814451226783361
83,0.8818717682528359
84,0.881850726390224
85,0.8820795898250227
86,0.8826440766993928
87,0.8823371703781465
88,0.8833125729678194
89,0.8823895551085094
90,0.882448460954036
91,0.8834017013831335
92,0.8826469366923497
93,0.8835400167786086
94,0.88294033510735
95,0.8836056876572859
96,0.884057516360906
97,0.8834340083114086
98,0.8831320035923783
99,0.8830712368527934
100,0.8841134963857467
101,0.8838880202411608
102,0.8833723759571337
103,0.8839086752454558
104,0.8837809448170901
105,0.8846225634201006
106,0.883963242285049
107,0.8852529611231318
108,0.8852950714280581
109,0.8839048666545702
110,0.8849018280450391
111,0.8847575945476074
112,0.8842910523851759
113,0.8851522583909741
114,0.8851986526967462
115,0.8855532206193782
116,0.8847845371302322
117,0.8847299273258903
118,0.8853165548540447
119,0.8864160164719681
120,0.8852549574979725
121,0.8856322209156603
122,0.8851802208189822
123,0.8853324122967985
124,0.885212069284755
125,0.885778977516356
126,0.8854949140423415
127,0.8859198351003504
128,0.8862096185008198
129,0.88602636802016
130,0.8858955446682453
131,0.8860569773027179
132,0.8861577703412952
133,0.8855562725531672
134,0.8861207537109295
135,0.8859605442225945
136,0.8858504070997039
137,0.8868561133765491
138,0.8863664000227643
139,0.8863840518285645
140,0.8866852542527521
141,0.8862596776979017
142,0.8868167117089627
143,0.8867318470954558
144,0.8868142149444823
145,0.886954659616251
146,0.8870523405496441
147,0.8868234228377898
148,0.886766188439144
149,0.8867728270438056
150,0.8871696095463183
151,0.8874681461720672
152,0.886745432590393
153,0.8870711195420758
154,0.8873182489982481
155,0.887183946755205
156,0.8873058350910076
157,0.8874607459981106
158,0.8871775518953056
159,0.8876703207863688
160,0.8881776248798515
161,0.8883204239905722
162,0.8880995508572223
163,0.8880307536521137
164,0.8882458234185511
165,0.8883469831200436
166,0.88859537695937
167,0.8881632391713757
168,0.8884396462383544
169,0.8879723476407291
170,0.8885934166491243
171,0.8887952373209758
172,0.8885205695745073
173,0.8881266123624099
174,0.8883061037865355
175,0.8883607232237718
