col_weight,r,RMSE
0.2,5,0.9006711386716773
0.2,10,0.8865773880286218
0.2,15,0.8850821807326315
0.2,16,0.8853156274548557
0.2,17,0.8842627472305484
0.2,18,0.8824982340121278
0.2,19,0.884089980323861
0.2,20,0.8844263535520105
0.2,21,0.8843503760677301
0.2,22,0.8839732101790636
0.2,23,0.8832618182586413
0.2,24,0.8838983263443803
0.2,25,0.8850816433383905
0.2,26,0.8842198642001421
0.2,27,0.8824044198714662
0.2,28,0.8844467708107976
0.2,29,0.8832667663430077
0.2,30,0.8865789613327062
0.2,31,0.8849414329556603
0.2,32,0.8854088385968157
0.2,33,0.8864342290163264
0.2,34,0.8850956833711197
0.2,35,0.8850626100345413
0.2,36,0.8864184356553728
0.2,37,0.8835788711748005
0.2,38,0.8869114387689091
0.2,39,0.8854469327884543
0.2,40,0.8861116927875284
0.2,41,0.8855142639451872
0.2,42,0.885347048665761
0.2,43,0.8860930477811011
0.2,44,0.8855605931315328
0.2,45,0.8877432942526866
0.2,46,0.8857984585495129
0.2,47,0.8876247147939982
0.2,48,0.886101245689202
0.2,49,0.8860962289744835
0.2,50,0.8862890591364915
0.2,51,0.8858191005352124
0.2,52,0.887396195038251
0.2,53,0.887518432005405
0.2,54,0.8874971627373487
0.2,55,0.8877132185447066
0.21000000000000002,5,0.8994467369260752
0.21000000000000002,10,0.8860892500181522
0.21000000000000002,15,0.8845554475754189
0.21000000000000002,16,0.8845917792339887
0.21000000000000002,17,0.8835166803312028
0.21000000000000002,18,0.8818288655333882
0.21000000000000002,19,0.8834087042347006
0.21000000000000002,20,0.8837703081671124
0.21000000000000002,21,0.8837453794625735
0.21000000000000002,22,0.8831845645136162
0.21000000000000002,23,0.8825555877952946
0.21000000000000002,24,0.8833239860091832
0.21000000000000002,25,0.884405845971651
0.21000000000000002,26,0.8834416179319751
0.21000000000000002,27,0.8816289381099623
0.21000000000000002,28,0.8835368261165483
0.21000000000000002,29,0.8826645611504452
0.21000000000000002,30,0.885709875078945
0.21000000000000002,31,0.8841178351628164
0.21000000000000002,32,0.8846499550201221
0.21000000000000002,33,0.885694818860353
0.21000000000000002,34,0.884250856092321
0.21000000000000002,35,0.8841851205286059
0.21000000000000002,36,0.8857263238250535
0.21000000000000002,37,0.8827981340417597
0.21000000000000002,38,0.8860816612841362
0.21000000000000002,39,0.8844901754181741
0.21000000000000002,40,0.8854285270211684
0.21000000000000002,41,0.884676077833162
0.21000000000000002,42,0.8844040417380628
0.21000000000000002,43,0.885325746010609
0.21000000000000002,44,0.8846916952802294
0.21000000000000002,45,0.8869508012648433
0.21000000000000002,46,0.8852201581560105
0.21000000000000002,47,0.8867352682885109
0.21000000000000002,48,0.8854122828485678
0.21000000000000002,49,0.8853973931094214
0.21000000000000002,50,0.8853095257083838
0.21000000000000002,51,0.884831887050441
0.21000000000000002,52,0.8864941928591145
0.21000000000000002,53,0.8869580724560537
0.21000000000000002,54,0.8864028413650923
0.21000000000000002,55,0.8869595324439266
0.22000000000000003,5,0.8982381048057263
0.22000000000000003,10,0.8855582746805345
0.22000000000000003,15,0.8840188825167212
0.22000000000000003,16,0.8838308131370691
0.22000000000000003,17,0.8828585360816763
0.22000000000000003,18,0.8813039978946362
0.22000000000000003,19,0.8827521408684017
0.22000000000000003,20,0.8831721474706968
0.22000000000000003,21,0.8831493557225331
0.22000000000000003,22,0.8824704649673107
0.22000000000000003,23,0.8818956835777133
0.22000000000000003,24,0.8827010932090478
0.22000000000000003,25,0.8837463337021499
0.22000000000000003,26,0.8827447132338485
0.22000000000000003,27,0.8808853015641748
0.22000000000000003,28,0.8826656653309071
0.22000000000000003,29,0.8820637282679431
0.22000000000000003,30,0.8848287153463198
0.22000000000000003,31,0.8833363845556887
0.22000000000000003,32,0.8839011400120387
0.22000000000000003,33,0.8849593121605148
0.22000000000000003,34,0.8834723667777621
0.22000000000000003,35,0.8833824170765228
0.22000000000000003,36,0.8850490782452364
0.22000000000000003,37,0.8820436429510431
0.22000000000000003,38,0.8852967011428182
0.22000000000000003,39,0.8836614650987418
0.22000000000000003,40,0.8846938575658417
0.22000000000000003,41,0.8839071166514504
0.22000000000000003,42,0.8836939872879662
0.22000000000000003,43,0.8846609304255209
0.22000000000000003,44,0.883884921494051
0.22000000000000003,45,0.8861393250148943
0.22000000000000003,46,0.8846860916663438
0.22000000000000003,47,0.8859038014167067
0.22000000000000003,48,0.8847053413736798
0.22000000000000003,49,0.8846762542118394
0.22000000000000003,50,0.8845176312876486
0.22000000000000003,51,0.8840512124843394
0.22000000000000003,52,0.885809805816819
0.22000000000000003,53,0.8863169772755781
0.22000000000000003,54,0.8852929441962788
0.22000000000000003,55,0.8861274623448827
0.23000000000000004,5,0.897051674235485
0.23000000000000004,10,0.884954517243649
0.23000000000000004,15,0.8834719208943738
0.23000000000000004,16,0.8830446874179764
0.23000000000000004,17,0.8822455612213577
0.23000000000000004,18,0.8807438674352206
0.23000000000000004,19,0.8821142247684237
0.23000000000000004,20,0.882582524125657
0.23000000000000004,21,0.882552996226132
0.23000000000000004,22,0.8818133685720235
0.23000000000000004,23,0.8812811225056406
0.23000000000000004,24,0.8820999582185968
0.23000000000000004,25,0.8831350227485297
0.23000000000000004,26,0.88220634663614
0.23000000000000004,27,0.8802460793654661
0.23000000000000004,28,0.8818912733146863
0.23000000000000004,29,0.8814281992898537
0.23000000000000004,30,0.8840322299534914
0.23000000000000004,31,0.8826292965222579
0.23000000000000004,32,0.8832006898010784
0.23000000000000004,33,0.8842561857122053
0.23000000000000004,34,0.8827382045349826
0.23000000000000004,35,0.8826606942615349
0.23000000000000004,36,0.8843140264220701
0.23000000000000004,37,0.8813090326778416
0.23000000000000004,38,0.884523773093528
0.23000000000000004,39,0.8829353665092682
0.23000000000000004,40,0.8839774839601828
0.23000000000000004,41,0.8831681027866447
0.23000000000000004,42,0.883146187937678
0.23000000000000004,43,0.8840903648623275
0.23000000000000004,44,0.8831386190340277
0.23000000000000004,45,0.8852119685589472
0.23000000000000004,46,0.8841956240963063
0.23000000000000004,47,0.8851646615832407
0.23000000000000004,48,0.8840252668395049
0.23000000000000004,49,0.8840438472497713
0.23000000000000004,50,0.8836975567368849
0.23000000000000004,51,0.8832858398906627
0.23000000000000004,52,0.8850022804719411
0.23000000000000004,53,0.8854667525579701
0.23000000000000004,54,0.8842730381091904
0.23000000000000004,55,0.8853255915525488
0.24000000000000005,5,0.895893940096501
0.24000000000000005,10,0.8843290717922354
0.24000000000000005,15,0.8829402457094916
0.24000000000000005,16,0.8822486516664868
0.24000000000000005,17,0.8816281314408705
0.24000000000000005,18,0.8801009861537626
0.24000000000000005,19,0.8814970336018302
0.24000000000000005,20,0.8819943917618533
0.24000000000000005,21,0.8819380309217205
0.24000000000000005,22,0.8811833082103412
0.24000000000000005,23,0.8806731676079059
0.24000000000000005,24,0.8814877637484994
0.24000000000000005,25,0.8826261806108385
0.24000000000000005,26,0.8817825107722942
0.24000000000000005,27,0.879680893891452
0.24000000000000005,28,0.8812206967721729
0.24000000000000005,29,0.8808112523619035
0.24000000000000005,30,0.8832953746365081
0.24000000000000005,31,0.8819757474638708
0.24000000000000005,32,0.882574706614976
0.24000000000000005,33,0.8835859253429198
0.24000000000000005,34,0.8820260451769043
