rep,weight,r,RMSE
9,0.39,10.0,0.8809786229666698
9,0.38,10.0,0.8806949624201683
9,0.42,10.0,0.8804182140716648
9,0.36,10.0,0.8808174089959545
9,0.39,11.0,0.879789769621737
9,0.37,10.0,0.8807012308291353
9,0.41,10.0,0.8803660831712429
9,0.4,10.0,0.8805131801879799
9,0.41,9.0,0.8796206629737598
9,0.41,13.0,0.8801342489385668
10,0.39,10.0,0.868992704661246
10,0.38,10.0,0.8686955299356311
10,0.42,10.0,0.8689384040412191
10,0.36,10.0,0.8690077456920502
10,0.39,11.0,0.8688295349809473
10,0.37,10.0,0.8686857883402258
10,0.41,10.0,0.8691580385872453
10,0.4,10.0,0.8691464800830921
10,0.41,9.0,0.8688388497941156
10,0.41,13.0,0.8679715759538879
11,0.39,10.0,0.877681068659063
11,0.38,10.0,0.8778545981246432
11,0.42,10.0,0.8785077490635145
11,0.36,10.0,0.8775330262246478
11,0.39,11.0,0.8782719244535455
11,0.37,10.0,0.8775158928695596
11,0.41,10.0,0.8797834504588429
11,0.4,10.0,0.8774041429159712
11,0.41,9.0,0.878813864745867
11,0.41,13.0,0.8773852570504989
12,0.39,10.0,0.873872872320074
12,0.38,10.0,0.8739152363731668
12,0.42,10.0,0.8746379792442164
12,0.36,10.0,0.8740971621094619
12,0.39,11.0,0.8735309762936252
12,0.37,10.0,0.8735184031221002
12,0.41,10.0,0.8739636103370071
12,0.4,10.0,0.8734312837469734
12,0.41,9.0,0.8736640265169741
12,0.41,13.0,0.872681005500367
13,0.39,10.0,0.8805115574332237
13,0.38,10.0,0.8800619823052113
13,0.42,10.0,0.8803462823033311
13,0.36,10.0,0.8802610831337351
13,0.39,11.0,0.8798332069144327
13,0.37,10.0,0.8799730846558984
13,0.41,10.0,0.8802573771741038
13,0.4,10.0,0.8802441933612055
13,0.41,9.0,0.8803699473839345
13,0.41,13.0,0.8800980933201382
14,0.39,10.0,0.8740380240660879
14,0.38,10.0,0.8739415211850825
14,0.42,10.0,0.8743015975795917
14,0.36,10.0,0.8738762041121666
14,0.39,11.0,0.8736667543076033
14,0.37,10.0,0.8734698712895096
14,0.41,10.0,0.8735272077879899
14,0.4,10.0,0.8739306665910944
14,0.41,9.0,0.8740402823231329
14,0.41,13.0,0.8725476096416241
15,0.39,10.0,0.8891155509040132
15,0.38,10.0,0.889177250121416
15,0.42,10.0,0.8902671560871444
15,0.36,10.0,0.8901213102733254
15,0.39,11.0,0.8892164161709147
15,0.37,10.0,0.8891057625209107
15,0.41,10.0,0.8903290655602192
15,0.4,10.0,0.8899989376317284
15,0.41,9.0,0.8893920569227978
15,0.41,13.0,0.88847988696239
16,0.39,10.0,0.8689296228609863
16,0.38,10.0,0.8686300474984697
16,0.42,10.0,0.8691862537597072
16,0.36,10.0,0.869076636050281
16,0.39,11.0,0.8688818328404009
16,0.37,10.0,0.8691957633284145
16,0.41,10.0,0.8691793752169887
16,0.4,10.0,0.8688433262241568
16,0.41,9.0,0.8682613169246605
16,0.41,13.0,0.8679058629473922
17,0.39,10.0,0.8702545907165756
17,0.38,10.0,0.8693373577109109
17,0.42,10.0,0.8697085426071635
17,0.36,10.0,0.869538875360166
17,0.39,11.0,0.8693342989889494
17,0.37,10.0,0.8693993259685449
17,0.41,10.0,0.8698727245723534
17,0.4,10.0,0.869870365653975
17,0.41,9.0,0.8684529994749047
17,0.41,13.0,0.8688562492985847
18,0.39,10.0,0.8688244972589162
18,0.38,10.0,0.8693227191332182
18,0.42,10.0,0.8692523078459793
18,0.36,10.0,0.8690668270333959
18,0.39,11.0,0.8677496178109414
18,0.37,10.0,0.8684223082421657
18,0.41,10.0,0.8693548402474104
18,0.4,10.0,0.8687903438923845
18,0.41,9.0,0.8684653083606985
18,0.41,13.0,0.8675095625415343
19,0.39,10.0,0.8752353523515556
19,0.38,10.0,0.8755930266035471
19,0.42,10.0,0.8758957053747682
19,0.36,10.0,0.8746270208347711
19,0.39,11.0,0.8747200035206357
19,0.37,10.0,0.8751463043186437
19,0.41,10.0,0.8755659450272029
19,0.4,10.0,0.8754809692752411
19,0.41,9.0,0.8749969636654589
19,0.41,13.0,0.8734846244600967
20,0.39,10.0,0.8803239169761381
20,0.38,10.0,0.8805183084336432
20,0.42,10.0,0.8806216589585311
20,0.36,10.0,0.8807913354814183
20,0.39,11.0,0.879687087292597
20,0.37,10.0,0.8806127857702988
20,0.41,10.0,0.8803215822455537
20,0.4,10.0,0.8804920493684179
20,0.41,9.0,0.879982989474864
20,0.41,13.0,0.8793181036723456
