r,rmse_0,rmse_global_mean,rmse_row_means,rmse_colmeans,rmse_means_weighted
1,3.0977280719796667,1.032901879894512,0.9287595389274655,0.965272836505574,0.892594871965368
2,3.0116244103273653,1.0070852591782078,0.9060719865918665,0.9539536087800269,0.8883770065186248
3,2.952918376919564,0.9979511566878279,0.9060947222308404,0.9511626345725535,0.8826708721067067
4,2.920168905359215,0.9972373759880137,0.9063679909519138,0.9478360405068137,0.880352078715668
5,2.8999948902595634,0.9938919358271983,0.9060135227163648,0.9471186365194249,0.8795389737599392
6,2.883690262732916,0.9923048794968337,0.9043438771623498,0.9476435414897786,0.8796435174159174
7,2.86600847915893,0.9916786314683851,0.9055391751579182,0.9478680914798818,0.8782160344412123
8,2.8765330601458916,0.9930553169851033,0.9049219392074548,0.948266499701837,0.8778539800558565
9,2.8704597369341567,0.9916221464411408,0.9043952947359304,0.9485461342290786,0.8766586305426458
10,2.872403831921432,0.9907532128038445,0.9050756337659408,0.9472341737133639,0.8774738391209311
11,2.882646689125368,0.9897952734505165,0.9044909113653301,0.9463123357948665,0.8769320491291998
12,2.8887195211111405,0.9895632401199681,0.9054832621539236,0.9460587725733878,0.8773429994845775
13,2.887934776670516,0.9880350322383474,0.9056193571103233,0.9457528228759718,0.8781029733564126
14,2.897088319716239,0.9871647648377903,0.9060699435841968,0.9466213796063855,0.8776989816876809
15,2.9047059189673248,0.9870117522010853,0.9061732104331075,0.9473692116740543,0.8769260865408757
16,2.9096037918735482,0.98712292021193,0.9061484673854363,0.9473194528723979,0.8776979107038246
17,2.917724876516512,0.987539773561909,0.9071143805643184,0.947097644593423,0.8774566376226846
18,2.9230205190648513,0.9880582755814515,0.9080347400316792,0.9475921896687157,0.8773874013572797
19,2.934259038075658,0.9881333459140095,0.9096027878987237,0.9475952028448396,0.8780965517410315
20,2.9387050019231635,0.9882710461906704,0.9097250648338642,0.9477849972895481,0.878671272855736
21,2.946083989915678,0.9891448327839851,0.9101178436376512,0.9478010543740517,0.8787792410345068
22,2.9511697210451273,0.9893310721417097,0.911595400539555,0.9490047144765335,0.8790529423594313
23,2.955893391507129,0.9893219257341136,0.9106647452935904,0.9480458589518621,0.8786868610419389
24,2.965919934953187,0.9895518791124914,0.9111700656842873,0.9481299396008595,0.879212088732677
25,2.966894728408116,0.9893585607017682,0.9118047766265781,0.9482182324992708,0.8789827929988256
26,2.976247175087085,0.9895476896028542,0.9119417983407301,0.948398271430557,0.8788874268263548
27,2.975172812966776,0.9901191046057485,0.9123402886334582,0.9468993983835021,0.8794757008285895
28,2.9892613660359912,0.9906820591674115,0.9130593212582735,0.9485767796636733,0.8794763560167963
29,2.999170967630955,0.991017855414163,0.9129989761615415,0.9477487804788102,0.8794645654500732
30,3.005327247225317,0.9907918054656325,0.9144643208205153,0.949676439962973,0.879436119929741
31,3.0048712130120334,0.9919676904113678,0.9132313910310188,0.9483459422347555,0.8786585415927215
32,3.0117398603712813,0.9921625287242436,0.9138987029708415,0.9490695900105816,0.8791511624660032
33,3.017810862161458,0.9920399058454431,0.9143583217855611,0.9497751327060621,0.8789112207474143
34,3.0271111759096705,0.9921304606458745,0.9132941585879729,0.9482590868987829,0.8785202728735012
35,3.029466413548597,0.9936261425534358,0.9138169788289268,0.9492837446169854,0.8786772875224853
36,3.0370575771066917,0.993467537875028,0.91428748298373,0.9502013718467455,0.8791345860450509
37,3.039689409169535,0.9937865002530946,0.9135651495571261,0.9491662006052469,0.879125583083407
38,3.0463745668707265,0.9948556247018481,0.9143565844792736,0.9482536753073288,0.8793537559081226
39,3.0466329288642924,0.9956359427081419,0.9145645855512581,0.9487575764160172,0.8787531009731643
40,3.056383187671405,0.9947825778551659,0.9149781516110375,0.9495236649671164,0.8792857301446941
41,3.0618807335794154,0.9964249863054006,0.9153725666004514,0.9487697694975026,0.879676106697661
42,3.06753569997868,0.9962958306616317,0.9148964057107335,0.948870473493054,0.8794110472668003
43,3.070774620832881,0.9959798118387986,0.9163428320479075,0.9487317011381446,0.8795067084984566
44,3.0754643950586957,0.9978552447476564,0.9151860685697956,0.9489256771189543,0.8793222837553438
45,3.0834514411309266,0.9990320982104983,0.9151934747406576,0.9490108685930073,0.8796376950767509
46,3.0904972715337355,0.9995873762182119,0.9179268617114399,0.9502037971255218,0.8804587574404832
47,3.091528183672503,0.9998569193476191,0.9169998720247176,0.9497500327143563,0.8798816618491444
48,3.102556160333648,0.999710433900229,0.9167901952370959,0.9501384008736243,0.880015414205164
49,3.109642134313655,0.999855215192808,0.9171858242359152,0.9506752764121125,0.8809778455066712
50,3.1114073911905056,1.0016385237855991,0.9181602987732046,0.9507550792613035,0.8813601503596934
51,3.118357841831738,1.0009587215245037,0.9180752034022053,0.9506287045933998,0.8809271659439352
52,3.1232626387778257,1.0009662608560135,0.9190998713874738,0.9507355219122415,0.8805929656816439
53,3.1298421370974703,1.0010704236388963,0.9180665364058224,0.9514818840931778,0.8811636907310945
54,3.131970324496472,1.002071926436229,0.9186994790817566,0.9512905539495465,0.8811957166162815
55,3.135868596098764,1.0038355985686762,0.9190077341961038,0.9515323027228592,0.8806091085024434
56,3.141633268370964,1.0032889715357407,0.9192738024040245,0.9519390563569738,0.8814617232282652
57,3.1484838496796264,1.0036767419100707,0.919527738827691,0.9518182758907285,0.8811553571726902
58,3.1509311387357872,1.0041108108406562,0.9199948152614804,0.9519461159031374,0.8822365161771384
59,3.1561775283232563,1.0045200526797813,0.9199364885064717,0.951909413237749,0.881631998429385
60,3.164286087678116,1.0077212826280308,0.9201241337124089,0.9528321040903277,0.8820449483317556
61,3.167075439047068,1.006240440049136,0.9207503146632844,0.9530574049058413,0.8826616090910651
62,3.169071621726662,1.0069125421926788,0.9207937985727405,0.9533208217133337,0.8822360931263861
63,3.179177102804076,1.0079699368599138,0.9216403241207093,0.9530934752797161,0.8816266849170108
64,3.174868548281902,1.0070545315736792,0.9204864264316789,0.9529029738733992,0.8832052638009278
65,3.185994806208676,1.0078144097658959,0.9213998311501889,0.9519093521669568,0.8827088648903098
66,3.1917186442742818,1.0092371179492707,0.9217258525114905,0.9529660391201457,0.8828847067227236
67,3.1978331738678403,1.0094816279894903,0.9221729119543578,0.9532284669613846,0.8833141353762519
68,3.196159758363494,1.010566049960462,0.9226471439620824,0.9529127131317974,0.882819762317678
69,3.207582817524493,1.0111465974002938,0.9231175448913774,0.9531626908913778,0.8838099490304103
70,3.2061097986167746,1.010609442510842,0.9231354067299437,0.9533881954691277,0.8834002699044237
71,3.2103758363425605,1.0103663356402675,0.9237908999261292,0.9535762237613671,0.8835678498874772
72,3.21390900058139,1.0123908600593516,0.9230528991718073,0.9541444791012059,0.8835976398990786
73,3.219972446788584,1.0114899901693906,0.9244731365528257,0.9539579676620819,0.8834156270203248
74,3.2290439362809646,1.0127331553889514,0.9241215769639575,0.9541457440246305,0.884939832035859
75,3.228292304985508,1.0125360272742776,0.9241925175648382,0.9546270460947517,0.8849222150761921
76,3.234915368589763,1.0144585146660727,0.9243708352249931,0.9544571430941692,0.8847821357913467
77,3.236884377246066,1.0146600304502535,0.9248766970412307,0.9551915301108229,0.8858534313907859
78,3.240041458860071,1.0149262080970447,0.9249479718751277,0.9550463775785376,0.8844501722571206
79,3.24799132847586,1.0157652204281618,0.9251443696952453,0.9560753025561518,0.8852355287237695
80,3.2501080603100188,1.016114732651866,0.9244753202038939,0.9564629388826014,0.8855714821683628
81,3.254253041520849,1.0167226291798257,0.9253498053496393,0.9562268147806925,0.8855864247147511
82,3.2571686494569945,1.0165320785117848,0.926228438916109,0.9558676117368533,0.8854402509413495
83,3.2595505079185334,1.018558162048615,0.9264919637714933,0.9562733231262599,0.8853915178616819
84,3.2633367127527304,1.0192523410022185,0.926362092681997,0.9559792276176081,0.8855351573997645
85,3.265008154252531,1.0197668127886699,0.9269944776016005,0.9559748627909654,0.8858973922966252
86,3.2788706359061632,1.0186926298525432,0.9257385752212779,0.9564334761693901,0.8858005525945835
87,3.277689388669688,1.0201733544591116,0.9256997590337983,0.9564974344191959,0.8863168374918643
88,3.281106557655933,1.0215291638397073,0.9264917042988705,0.957318478105988,0.8861725505762085
89,3.2828644471540125,1.0229781772007525,0.9261619931147727,0.957107632640348,0.8849772975767809
90,3.2908276783428585,1.02103840391468,0.9276139421585832,0.9567592316796669,0.8858035183844721
91,3.294081950081638,1.0224494597334415,0.9275921632046271,0.9577704426250202,0.8851173253691035
92,3.289730112416498,1.0238481207249268,0.9278607551142972,0.9566791330459647,0.8868994199765099
93,3.3036452647364616,1.0224403666413344,0.9282130021112563,0.9572362351570741,0.8868283615605896
94,3.3032689601935346,1.0255416085806985,0.9277179625340471,0.9578915676340369,0.8869581057571154
95,3.306829859265438,1.023802192154573,0.9280844730939167,0.9582304274396645,0.8861792195831181
96,3.315179752147728,1.0247250902003335,0.9280954239299525,0.9577582030297486,0.8874883822490351
97,3.3157910803768327,1.0248641247400343,0.9283203798605586,0.9578739958169384,0.8872036472057219
98,3.3163631620377774,1.0269070360645,0.9282180827331517,0.9580362798706074,0.8879105928483495
99,3.322597484074405,1.0261121879946844,0.9281854480215974,0.9585712140626349,0.8877870126330711
100,3.325656469262466,1.0267340169059935,0.9286063416215896,0.9593333431885687,0.8885466773639592
